Trial	Block	Onset	Endowment	Response Time	Duration	L_Option	R_Option	Response
29	2	--	19	14.18105	14.698751	1.4	1.8	2
30	1	--	15	23.596714	24.113989	1.2	2.8	3
31	2	--	19	36.99526	37.51245	0.1	0.3	2
32	2	--	19	45.577717	46.094254	0.3	0.9	3
33	3	264.16388	17	0.3837981	0.900296	7.65	0	2
34	3	274.59595	25	0.0034425	0.5181079	6.25	0	3
35	3	285.14584	21	0.4993708	1.0160322	9.45	0	2
36	1	--	19	8.556462	9.064933	0.5	0.9	3
37	2	--	21	14.347189	14.864649	1.2	2.8	2
38	2	--	21	27.395874	27.912931	0.5	0.7	2
39	1	--	25	33.129326	33.64491	0.6	1.8	3
40	1	--	23	43.81097	44.3274	0.2	0.6	2
41	3	336.0058	23	0.4000279	0.9158424	10.35	0	3
42	3	346.45502	25	0.5164494	1.0334493	11.25	0	2
43	2	--	15	13.1644945	13.681207	0.4	1.2	3
44	2	--	21	26.279903	26.797443	0.5	0.7	2
45	2	--	25	32.379654	32.89625	0.3	1.5	3
46	2	--	21	42.06158	42.577934	2.8	3.6	2
47	1	--	15	54.622066	55.1438	0.3	0.5	3
48	1	--	21	60.25914	60.77648	0.3	2.7	2
49	3	415.76318	17	0.4338154	0.9496307	4.25	0	3
50	3	423.24646	19	0.5658341	1.0825769	4.75	0	2
51	2	--	15	11.648394	12.164152	0.9	2.7	2
52	3	443.94394	15	0.4155046	0.9321979	5.25	0	3
53	2	--	23	7.4822316	7.999353	0.5	0.9	3
54	3	456.47565	17	0.6829758	1.2000434	2.55	0	3
55	3	462.20752	19	0.0036106	0.5171788	0.95	0	3
56	2	--	21	7.500744	8.016334	0.1	0.9	2
57	1	--	15	13.084041	13.599608	0.3	0.7	2
58	3	481.83957	25	0.3329028	0.8502649	1.25	0	2
59	1	--	19	8.815116	9.332569	0.1	0.5	3
60	3	495.70438	25	0.5497322	1.0666014	8.75	0	2
61	1	--	21	8.165529	8.682788	0.7	0.9	2
62	2	--	25	13.63173	14.14847	0.2	1.4	3
63	3	517.88513	17	0.5830667	1.0998975	2.55	0	3
64	3	527.51794	15	0.3994725	0.9161756	0.75	0	3
65	1	--	15	7.4483023	7.9652624	0.2	1.4	3
66	1	--	15	15.030838	15.547913	0.5	0.9	3
67	1	--	17	20.596972	21.114712	0.5	0.7	3
68	2	--	25	26.230034	26.746344	1.4	1.8	2
69	3	560.7972	23	0.0038054	0.5163204	3.45	0	3
70	2	--	25	10.698348	11.214873	0.3	0.7	3
71	3	576.54517	15	0.4498675	0.9655434	2.25	0	2
72	3	583.54364	15	0.4674312	0.9841367	5.25	0	2
		--		9.165875	9.682498			3
nTrial	Block	decision_onset	Endowment	rt	trialDuration	L_Option	R_Option	resp
1	3	6.5326633	25	999	3.5328636	8.75	0	999
2	3	18.098309	17	1.4489554	1.9659983	4.25	0	2
3	3	24.596634	17	1.1666725	1.6832651	5.95	0	3
4	2	--	15	8.749221	9.266204	0.3	0.5	3
5	2	--	15	17.264812	17.781307	0.5	0.7	3
6	1	--	21	24.047327	24.564413	0.5	0.9	3
7	3	55.19446	25	1.5319455	2.049235	6.25	0	2
8	2	--	19	8.598142	9.11422	0.6	1	3
9	1	--	19	18.279982	18.797125	0.6	1.4	3
10	2	--	15	30.495245	31.012156	0.6	1.8	3
11	1	--	19	43.560646	44.07715	0.1	0.9	3
12	3	103.80569	25	2.2655308	2.7816336	3.75	0	2
13	1	--	15	15.564199	16.080986	0.3	2.7	3
14	1	--	17	26.529547	27.046623	0.5	0.9	2
15	2	--	23	33.94523	34.462154	0.2	0.6	3
16	2	--	15	43.877197	44.395382	0.3	0.9	2
17	3	154.23244	19	2.4994886	3.016034	0.95	0	3
18	1	--	23	13.148359	13.665836	0.2	1.4	3
19	1	--	25	22.430573	22.946892	0.3	0.5	3
20	1	--	21	29.362972	29.879393	0.4	2.8	2
21	1	--	25	42.594933	43.111618	0.4	2	2
22	2	--	21	57.659847	58.176674	0.1	0.7	3
23	2	--	23	64.69237	65.209274	0.2	1	3
24	1	--	17	73.041405	73.55916	0.3	2.7	2
25	1	--	15	83.85703	84.374626	0.5	0.7	2
26	2	--	23	93.188576	93.70576	0.7	0.9	2
27	3	252.47043	23	2.0834105	2.6012244	1.15	0	3
28	1	--	19	10.799487	11.316232	0.3	0.5	2
29	2	--	19	999	19.381666	1.4	1.8	999
30	1	--	15	28.697426	29.2141	1.2	2.8	2
31	2	--	19	42.46227	42.97945	0.1	0.3	3
32	2	--	19	52.644287	53.161266	0.3	0.9	3
33	3	310.16464	17	0.9661165	1.4831065	7.65	0	3
34	3	321.1799	25	1.0162177	1.534097	6.25	0	3
35	3	332.74542	21	0.8828501	1.4001303	9.45	0	3
36	1	--	19	999	12.465292	0.5	0.9	999
37	2	--	21	18.197792	18.714334	1.2	2.8	3
38	2	--	21	31.945593	32.463535	0.5	0.7	2
39	1	--	25	38.1785	38.695766	0.6	1.8	2
40	1	--	23	50.127247	50.644726	0.2	0.6	2
41	3	389.92084	23	0.8171914	1.3338892	10.35	0	3
42	3	400.78745	25	1.1997405	1.7165996	11.25	0	3
43	2	--	15	14.331635	14.848634	0.4	1.2	2
44	2	--	21	28.52988	29.045818	0.5	0.7	2
45	2	--	25	36.34575	36.862793	0.3	1.5	3
46	2	--	21	47.14459	47.660645	2.8	3.6	3
47	1	--	15	60.893642	61.409187	0.3	0.5	2
48	1	--	21	67.79359	68.309326	0.3	2.7	3
49	3	477.62848	17	0.6000581	1.1165974	4.25	0	2
50	3	485.27692	19	0.733761	1.2509192	4.75	0	2
51	2	--	15	12.515895	13.032067	0.9	2.7	2
52	3	506.84268	15	0.8822518	1.3996367	5.25	0	3
53	2	--	23	8.831271	9.347714	0.5	0.9	3
54	3	520.723	17	0.9500808	1.4671907	2.55	0	2
55	3	526.723	19	0.716408	1.2323312	0.95	0	2
56	2	--	21	8.782254	9.297799	0.1	0.9	3
57	1	--	15	15.08113	15.599008	0.3	0.7	2
58	3	548.35333	25	1.1677201	1.683522	1.25	0	2
59	1	--	19	10.449167	10.967094	0.1	0.5	2
60	3	563.852	25	0.4829645	0.9992352	8.75	0	3
61	1	--	21	8.9818535	9.499187	0.7	0.9	3
62	2	--	25	15.148205	15.664942	0.2	1.4	3
63	3	587.5491	17	0.6999035	1.2171892	2.55	0	2
64	3	597.2976	15	0.7842767	1.3008906	0.75	0	2
65	1	--	15	9.032689	9.549456	0.2	1.4	3
66	1	--	15	17.665024	18.181692	0.5	0.9	2
67	1	--	17	24.414124	24.931196	0.5	0.7	3
68	2	--	25	30.930334	31.44717	1.4	1.8	3
69	3	635.2769	23	1.0665152	1.5828925	3.45	0	2
70	2	--	25	12.398066	12.915783	0.3	0.7	3
71	3	652.72455	15	1.0668131	1.5842736	2.25	0	2
72	3	660.3401	15	0.7171579	1.2341758	5.25	0	3
		--		10.832882	11.349032			3
nTrial	Block	decision_onset	Endowment	rt	trialDuration	L_Option	R_Option	resp
1	3	6.5283933	25	1.8340348	2.3501434	8.75	0	2
2	3	16.911121	17	1.7163042	2.2334392	4.25	0	3
3	3	23.676447	17	1.9500905	2.466625	5.95	0	3
4	2	--	15	999	10.531759	0.3	0.5	999
5	2	--	15	999	20.097687	0.5	0.7	999
6	1	--	21	27.413794	27.929953	0.5	0.9	3
7	3	57.639267	25	0.9001753	1.4165108	6.25	0	2
8	2	--	19	999	9.481689	0.6	1	999
9	1	--	19	17.414955	17.931767	0.6	1.4	2
10	2	--	15	28.86375	29.379923	0.6	1.8	3
11	1	--	19	40.562294	41.07867	0.1	0.9	3
12	3	103.25084	25	999	3.5334902	3.75	0	999
13	1	--	15	15.298366	15.814901	0.3	2.7	3
14	1	--	17	26.28076	26.797318	0.5	0.9	3
15	2	--	23	33.67973	34.196617	0.2	0.6	3
16	2	--	15	44.645138	45.161263	0.3	0.9	3
17	3	154.4454	19	1.549429	2.066023	0.95	0	3
18	1	--	23	11.814941	12.331298	0.2	1.4	3
19	1	--	25	20.8644	21.380077	0.3	0.5	3
20	1	--	21	27.863636	28.379482	0.4	2.8	3
21	1	--	25	40.195343	40.711765	0.4	2	3
22	2	--	21	54.077454	54.59362	0.1	0.7	3
23	2	--	23	61.025566	61.54202	0.2	1	3
24	1	--	17	69.5248	70.04128	0.3	2.7	3
25	1	--	15	79.690216	80.207085	0.5	0.7	3
26	2	--	23	999	91.27216	0.7	0.9	999
27	3	250.2506	23	999	3.53241	1.15	0	999
28	1	--	19	11.782716	12.298332	0.3	0.5	2
29	2	--	19	999	20.363657	1.4	1.8	999
30	1	--	15	999	31.929028	1.2	2.8	999
31	2	--	19	46.144882	46.66122	0.1	0.3	3
32	2	--	19	55.693703	56.210728	0.3	0.9	3
33	3	310.99402	17	1.6161478	2.1325314	7.65	0	3
34	3	322.65918	25	0.8997765	1.4164627	6.25	0	3
35	3	334.10757	21	1.4169135	1.9338253	9.45	0	3
36	1	--	19	11.315524	11.832341	0.5	0.9	3
37	2	--	21	17.381565	17.898281	1.2	2.8	3
38	2	--	21	31.179737	31.697084	0.5	0.7	3
39	1	--	25	37.27924	37.79581	0.6	1.8	3
40	1	--	23	48.478027	48.994804	0.2	0.6	3
41	3	389.6347	23	999	3.5324597	10.35	0	999
42	3	402.7005	25	0.0035292	0.5158819	11.25	0	3
43	2	--	15	12.058111	12.56465	0.4	1.2	2
44	2	--	21	999	28.129135	0.5	0.7	999
45	2	--	25	33.91212	34.428406	0.3	1.5	3
46	2	--	21	44.56081	45.078003	2.8	3.6	3
47	1	--	15	58.459183	58.97607	0.3	0.5	3
48	1	--	21	65.175186	65.691826	0.3	2.7	3
49	3	476.92416	17	1.7838235	2.3000972	4.25	0	3
50	3	485.75653	19	2.2001958	2.716986	4.75	0	3
51	2	--	15	13.749232	14.264991	0.9	2.7	3
52	3	508.5544	15	999	3.5325	5.25	0	999
53	2	--	23	10.69864	11.215011	0.5	0.9	2
54	3	524.3021	17	1.9002897	2.4168782	2.55	0	3
55	3	531.2517	19	1.1000255	1.6169021	0.95	0	3
56	2	--	21	999	11.682006	0.1	0.9	999
57	1	--	15	17.31472	17.83084	0.3	0.7	3
58	3	555.11554	25	2.0836306	2.5993388	1.25	0	3
59	1	--	19	11.73244	12.249394	0.1	0.5	3
60	3	571.8963	25	2.8170695	3.3343015	8.75	0	3
61	1	--	21	10.749473	11.266097	0.7	0.9	3
62	2	--	25	18.148592	18.665522	0.2	1.4	3
63	3	598.5941	17	0.0037538	0.5168548	2.55	0	3
64	3	607.6429	15	0.7668726	1.2828053	0.75	0	3
65	1	--	15	9.86555	10.381582	0.2	1.4	3
66	1	--	15	19.264637	19.781511	0.5	0.9	3
67	1	--	17	26.580553	27.09717	0.5	0.7	3
68	2	--	25	32.79615	33.31255	1.4	1.8	3
69	3	647.4877	23	1.3837558	1.9001485	3.45	0	3
70	2	--	25	999	14.965022	0.3	0.7	999
71	3	666.9866	15	0.003518701	0.5158624	2.25	0	3
72	3	673.5352	15	0.9171474	1.4333999	5.25	0	3
		--		9.565469	10.082277			2
