TrialNumber,ISI,ITI,L_Option,Endowment,R_Option,nTrial,Block,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
13,1.5,3,10,23,4,13,2,1.0,12.0,122.099,123.098,123.114,123.115,124.631,124.631,3.0,0.933618,125.565,128.147,3.51636,128.148,131.152
14,1.5,3,10,23,7,14,2,1.0,13.0,132.149,133.148,133.164,133.165,134.681,134.681,3.0,0.734477,135.415,138.196,3.51534,138.196,141.201
15,3,1,2,25,8,15,2,1.0,14.0,142.198,143.198,143.214,143.215,146.231,146.231,2.0,0.850227,147.081,149.746,3.51579,149.747,150.751
16,3,8,6,19,9,16,2,1.0,15.0,151.749,152.747,152.764,152.765,155.781,155.781,2.0,0.866603,156.648,159.297,3.51659,159.298,167.302
17,1.5,1,1,19,4,17,1,1.0,16.0,168.299,169.297,169.314,169.315,170.831,170.831,2.0,0.800108,171.631,174.347,3.51595,174.347,175.351
18,3,1,1,19,9,18,1,1.0,17.0,176.349,177.348,177.364,177.365,180.381,180.381,2.0,0.833602,181.215,183.897,3.51594,183.897,184.902
19,4.5,3,4,21,9,19,2,1.0,18.0,185.898,186.897,186.914,186.914,191.431,191.431,2.0,0.833401,192.264,194.947,3.51606,194.947,197.952
20,1.5,1,5,25,11,20,2,1.0,19.0,198.949,199.947,199.964,199.965,201.481,201.481,2.0,1.09988,202.581,204.997,3.51644,204.998,206.002
21,4.5,5,1,19,4,21,1,1.0,20.0,206.998,207.997,208.014,208.014,212.531,212.531,2.0,0.884684,213.416,216.045,3.51467,216.046,221.051
22,1.5,3,4,19,0,22,3,1.0,21.0,222.048,223.047,223.064,223.064,224.581,224.581,2.0,2.06625,226.647,228.096,3.51574,228.097,231.101
23,1.5,8,6,19,1,23,2,1.0,22.0,232.098,233.097,233.114,233.114,234.631,234.631,3.0,1.83338,236.464,238.147,3.51605,238.147,246.152
24,1.5,1,11,25,2,24,2,1.0,23.0,247.148,248.147,248.164,248.164,249.681,249.681,3.0,0.883107,250.565,253.197,3.51556,253.197,254.201
25,4.5,1,7,21,4,25,1,1.0,24.0,255.199,256.197,256.214,256.214,260.731,260.731,3.0,0.999729,261.731,264.247,3.51634,264.248,265.252
26,1.5,1,9,19,0,26,3,1.0,25.0,266.248,267.247,267.264,267.264,268.781,268.781,2.0,1.03338,269.814,272.296,3.51599,272.297,273.301
27,1.5,5,3,17,5,27,1,1.0,26.0,274.298,275.297,275.314,275.314,276.831,276.831,2.0,1.3998,278.231,280.347,3.51626,280.348,285.352
28,1.5,1,9,21,7,28,1,1.0,27.0,286.348,287.347,287.364,287.364,288.881,288.881,3.0,0.850031,289.731,292.396,3.51581,292.397,293.401
29,3,3,0,23,7,29,3,1.0,28.0,294.398,295.397,295.414,295.414,298.431,298.431,3.0,1.39998,299.831,301.948,3.51717,301.948,304.952
30,4.5,3,5,17,8,30,2,1.0,29.0,305.948,306.947,306.964,306.964,311.481,311.481,2.0,1.24976,312.731,314.997,3.51649,314.997,318.003
31,1.5,1,0,23,1,31,3,1.0,30.0,318.998,319.997,320.014,320.014,321.531,321.531,2.0,1.78268,323.314,325.047,3.51615,325.048,326.052
32,3,1,3,15,1,32,1,1.0,31.0,327.048,328.047,328.063,328.064,331.081,331.081,3.0,1.5163,332.597,334.597,3.51639,334.598,335.602
33,3,5,0,25,11,33,3,1.0,32.0,336.598,337.597,337.613,337.614,340.63,340.631,3.0,1.96676,342.597,344.147,3.51637,344.147,349.151
34,1.5,5,6,19,0,34,3,1.0,33.0,350.148,351.147,351.163,351.164,352.681,352.681,2.0,1.23286,353.914,356.197,3.51636,356.198,361.202
35,1.5,8,4,21,7,35,2,1.0,34.0,362.198,363.197,363.213,363.214,364.731,364.731,2.0,1.0833,365.814,368.246,3.51588,368.247,376.251
36,3,3,5,15,1,36,1,1.0,35.0,377.248,378.247,378.264,378.264,381.28,381.28,3.0,1.08442,382.365,384.795,3.51536,384.796,387.8
