TrialNumber,ISI,ITI,L_Option,Endowment,R_Option,nTrial,Block,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
13,3,1,0,19,4,13,3,1.0,12.0,143.09,144.089,144.106,144.106,147.121,147.122,3.0,1.20125,148.323,150.637,3.51556,150.637,151.642
14,4.5,3,4,23,1,14,1,1.0,13.0,152.641,153.639,153.656,153.656,158.173,158.173,3.0,1.13324,159.306,161.688,3.51563,161.689,164.693
15,3,1,5,15,7,15,1,1.0,14.0,165.69,166.689,166.706,166.706,169.722,169.722,2.0,1.85033,171.573,173.238,3.51579,173.238,174.243
16,1.5,1,1,21,7,16,2,1.0,15.0,175.24,176.239,176.256,176.256,177.772,177.772,2.0,0.983453,178.756,181.288,3.51632,181.289,182.294
17,3,1,9,19,0,17,3,1.0,16.0,183.29,184.289,184.306,184.306,187.322,187.322,3.0,1.93371,189.256,190.838,3.51615,190.839,191.843
18,3,1,5,25,2,18,1,1.0,17.0,192.84,193.839,193.856,193.856,196.872,196.872,3.0,1.5838,198.456,200.388,3.51626,200.389,201.392
19,3,3,7,21,1,19,1,1.0,18.0,202.39,203.389,203.406,203.406,206.422,206.422,3.0,1.35021,207.772,209.938,3.51574,209.938,212.943
20,4.5,3,0,25,11,20,3,1.0,19.0,213.94,214.939,214.955,214.956,219.472,219.472,3.0,1.2504,220.723,222.988,3.51579,222.988,225.992
21,1.5,5,4,21,9,21,2,1.0,20.0,226.99,227.989,228.005,228.006,229.522,229.522,2.0,1.25023,230.772,233.038,3.51599,233.038,238.043
22,1.5,1,5,25,2,22,1,1.0,21.0,239.04,240.038,240.055,240.056,241.572,241.572,3.0,1.28388,242.856,245.088,3.51649,245.089,246.093
23,1.5,8,1,15,3,23,1,1.0,22.0,247.09,248.088,248.105,248.106,249.622,249.622,2.0,1.484,251.106,253.137,3.51527,253.137,261.142
24,1.5,1,1,23,7,24,2,1.0,23.0,262.14,263.139,263.155,263.156,264.673,264.673,2.0,0.682893,265.356,268.189,3.51609,268.189,269.194
25,1.5,1,9,19,6,25,2,1.0,24.0,270.19,271.188,271.205,271.206,272.722,272.722,3.0,1.03348,273.755,276.238,3.51623,276.238,277.244
26,1.5,1,8,17,3,26,2,1.0,25.0,278.239,279.238,279.255,279.256,280.772,280.772,3.0,0.966562,281.739,284.288,3.51667,284.289,285.292
27,3,3,4,19,9,27,2,1.0,26.0,286.289,287.288,287.305,287.306,290.322,290.322,2.0,0.733955,291.056,293.838,3.51615,293.838,296.844
28,3,3,1,21,7,28,1,1.0,27.0,297.84,298.838,298.855,298.855,301.872,301.872,2.0,1.23349,303.105,305.388,3.51622,305.388,308.393
29,1.5,1,11,25,5,29,1,1.0,28.0,309.39,310.388,310.405,310.405,311.922,311.922,3.0,1.6,313.522,315.437,3.51517,315.437,316.441
30,1.5,1,1,19,4,30,1,1.0,29.0,317.439,318.438,318.455,318.455,319.971,319.972,3.0,1.20055,321.172,323.487,3.51597,323.488,324.492
31,1.5,8,1,21,9,31,2,1.0,30.0,325.489,326.488,326.505,326.505,328.021,328.022,2.0,0.900436,328.922,331.537,3.5159,331.538,339.542
32,1.5,5,10,23,0,32,3,1.0,31.0,340.539,341.538,341.555,341.556,343.072,343.073,2.0,1.21591,344.289,346.589,3.51722,346.59,351.594
33,1.5,1,0,21,1,33,3,1.0,32.0,352.589,353.588,353.605,353.605,355.121,355.122,2.0,1.60049,356.722,358.637,3.51582,358.637,359.643
34,1.5,1,3,15,0,34,3,1.0,33.0,360.639,361.638,361.655,361.655,363.172,363.172,3.0,1.66621,364.838,366.688,3.51682,366.689,367.693
35,1.5,5,1,17,3,35,2,1.0,34.0,368.689,369.688,369.705,369.705,371.222,371.222,3.0,1.36602,372.588,374.738,3.51601,374.739,379.743
36,1.5,1,0,19,4,36,3,1.0,35.0,380.739,381.738,381.755,381.755,383.271,383.272,2.0,2.21668,385.488,386.788,3.51708,386.789,387.793
