onset	duration	trial_type	response_time	Endowment	DeMeaned
208.823930	2	cue_ug-resp	n/a	17	n/a
208.823930	2	cue_ug-resp_parametric	n/a	17	-3.166667e+00
219.380860	1.635821	dec_dg-prop_choice	1.635821	21	n/a
216.847140	2	cue_ug-resp	n/a	21	n/a
216.847140	2	cue_ug-resp_parametric	n/a	21	8.333333e-01
227.420840	2.085969	dec_dg-prop_choice	2.085969	25	n/a
224.903580	2	cue_ug-resp	n/a	25	n/a
224.903580	2	cue_ug-resp_parametric	n/a	25	4.833333e+00
239.463780	1.402112	dec_ug-prop_choice	1.402112	17	n/a
236.930190	2	cue_dict	n/a	17	n/a
236.930190	2	cue_dict_parametric	n/a	17	-2.333333e+00
254.510030	1.184975	dec_dg-prop_choice	1.184975	25	n/a
251.975830	2	cue_ug-resp	n/a	25	n/a
251.975830	2	cue_ug-resp_parametric	n/a	25	4.833333e+00
265.565770	2.422579	dec_ug-resp_choice	2.422579	19	n/a
260.032600	2	cue_ug-prop	n/a	19	n/a
260.032600	2	cue_ug-prop_parametric	n/a	19	1.666667e-01
273.607420	1.720198	dec_ug-resp_choice	1.720198	19	n/a
271.074770	2	cue_ug-prop	n/a	19	n/a
271.074770	2	cue_ug-prop_parametric	n/a	19	1.666667e-01
281.648770	1.635459	dec_ug-resp_choice	1.635459	19	n/a
279.114650	2	cue_ug-prop	n/a	19	n/a
279.114650	2	cue_ug-prop_parametric	n/a	19	1.666667e-01
296.694580	1.685292	dec_ug-prop_choice	1.685292	15	n/a
294.160680	2	cue_dict	n/a	15	n/a
294.160680	2	cue_dict_parametric	n/a	15	-4.333333e+00
308.235600	2.304296	dec_ug-resp_choice	2.304296	17	n/a
304.202100	2	cue_ug-prop	n/a	17	n/a
304.202100	2	cue_ug-prop_parametric	n/a	17	-1.833333e+00
317.776500	1.954401	dec_ug-prop_choice	1.954401	23	n/a
313.743300	2	cue_dict	n/a	23	n/a
313.743300	2	cue_dict_parametric	n/a	23	3.666667e+00
327.819500	1.352535	dec_ug-prop_choice	1.352535	19	n/a
325.286500	2	cue_dict	n/a	19	n/a
325.286500	2	cue_dict_parametric	n/a	19	-3.333333e-01
342.865330	1.035308	dec_ug-prop_choice	1.035308	15	n/a
340.331700	2	cue_dict	n/a	15	n/a
340.331700	2	cue_dict_parametric	n/a	15	-4.333333e+00
352.404240	1.137625	dec_dg-prop_choice	1.137625	21	n/a
348.388240	2	cue_ug-resp	n/a	2378.996700	2	cue_dict_parametric	n/a	25
5.555556	8.333333e-01
360.446140	1.119265	dec_ug-prop_choice	1.119265	23	n/a
357.912960	2	cue_dict	n/a	23	n/a
357.912960	2	cue_dict_parametric	n/a	23	3.666667e+00
373.487850	1.205749	dec_ug-prop_choice	1.205749	23	n/a
367.954530	2	cue_dict	n/a	23	n/a
367.954530	2	cue_dict_parametric	n/a	23	3.666667e+00
383.030270	1.186988	dec_ug-prop_choice	1.186988	25	n/a
378.996700	2	cue_dict	n/a	25	n/a
378.996700	2	cue_dict_parametric	n/a	25	5.666667e+00
