TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset,cue_Onset
21,21,1,21,2,0.5,1,7,1.0,20.0,188.45056,188.46712,188.46744,188.98378,188.98393,3.0,1.2008476,190.18477,190.7012,1.7176429,190.70174,192.70532,--
22,22,1,25,2,0.5,11,5,1.0,21.0,194.69948,194.7162,194.71637,195.23349,195.23364,2.0,3.050216,198.28386,198.80052,3.567408,198.80118,200.80476,--
23,23,2,23,2,0.5,4,7,1.0,22.0,202.79953,202.81564,202.81583,203.33171,203.33185,2.0,1.8670425,205.1989,205.71565,2.384171,205.7162,207.71956,--
24,24,3,17,2,0.5,8,3,1.0,23.0,209.71489,209.73181,209.73189,210.2482,210.24834,3.0,3.9168477,214.16519,214.6814,4.43343,214.6821,216.68546,207.72214
25,25,2,25,4,2,5,11,1.0,24.0,218.6806,218.69731,218.69748,220.71413,220.71428,2.0,2.4329762,223.14725,223.66368,2.949766,223.6642,227.66739,--
26,26,2,19,2,2,1,4,1.0,25.0,229.66315,229.67938,229.67955,231.69662,231.69678,2.0,2.6320846,234.32886,234.84517,3.1487994,234.84573,236.84877,--
27,27,3,23,2,2,7,1,1.0,26.0,238.84555,238.86186,238.86192,240.8785,240.87863,3.0,1.249891,242.12852,242.64458,1.7663153,242.6451,244.64902,236.85097
28,28,3,21,6,0.5,1,9,1.0,27.0,246.64465,246.66096,246.66106,247.17776,247.1779,3.0,0.7996071,247.97751,248.49435,1.3168247,248.49486,254.49742,244.65163
29,29,3,25,6,2,8,11,1.0,28.0,256.4929,256.50992,256.51,258.527,258.52716,3.0,1.1324817,259.65964,260.17563,1.6488339,260.17612,266.17966,254.49876
30,30,2,21,2,0.5,7,4,1.0,29.0,268.17523,268.19162,268.19177,268.70813,268.70825,3.0,1.6005217,270.30878,270.82584,2.118013,270.82642,272.82928,--
31,31,2,25,6,0.5,5,8,1.0,30.0,274.8245,274.8409,274.84113,275.35718,275.35733,2.0,2.550322,277.90765,278.42435,3.0673704,278.42487,284.4281,--
32,32,2,21,8,0.5,9,1,1.0,31.0,286.4227,286.43918,286.43942,286.95648,286.9566,3.0,1.9499216,288.90652,289.42346,2.467224,289.42395,297.42813,--
33,33,3,17,4,2,5,3,1.0,32.0,299.42178,299.43817,299.43823,301.45538,301.45554,3.0,1.432223,302.88776,303.40472,1.9495723,303.40524,307.40848,297.43027
34,34,1,25,2,2,5,2,1.0,33.0,309.40372,309.42047,309.42062,311.43692,311.43704,2.0,2.716322,314.15338,314.67047,3.2337997,314.671,316.6746,--
35,35,3,19,4,3.5,4,9,1.0,34.0,318.67014,318.68732,318.68744,322.20392,322.2041,3.0,2.1145518,324.31863,324.83444,2.6307526,324.835,328.838,316.67606
36,36,1,21,2,3.5,7,9,1.0,35.0,330.83463,330.85095,330.8511,334.3671,334.36725,3.0,2.150082,336.51733,337.03418,2.6673002,337.03467,339.0376,--
