Trial,A_ITI,B_ITI,A_feedback,B_feedback,A_faces_L,A_faces_R,A_doors_L,A_doors_R,B_faces_L,B_faces_R,B_doors_L,B_doors_R,practice_faces_L,practice_faces_R,practice_doors_L,practice_doors_R,practice_ITI,practice_feedback
45,1.1,3.2,win,loss,A_M41.jpg,A_M61.jpg,A_D_045.jpg,A_D_105.jpg,B_F64.jpg,B_F04.jpg,B_D_165.jpg,B_D_225.jpg,,,,,,
46,1.1,5.3,loss,loss,A_M37.jpg,A_M69.jpg,A_D_046.jpg,A_D_106.jpg,B_M24.jpg,B_M52.jpg,B_D_166.jpg,B_D_226.jpg,,,,,,
47,3.2,1.1,loss,loss,A_M85.jpg,A_M51.jpg,A_D_047.jpg,A_D_107.jpg,B_F62.jpg,B_F14.jpg,B_D_167.jpg,B_D_227.jpg,,,,,,
48,5.3,5.3,loss,loss,A_F75.jpg,A_F109.jpg,A_D_048.jpg,A_D_108.jpg,B_M16.jpg,B_M104.jpg,B_D_168.jpg,B_D_228.jpg,,,,,,
49,5.3,1.1,loss,win,A_F27.jpg,A_F103.jpg,A_D_049.jpg,A_D_109.jpg,B_M44.jpg,B_M80.jpg,B_D_169.jpg,B_D_229.jpg,,,,,,
50,5.3,3.2,loss,loss,A_M07.jpg,A_M49.jpg,A_D_050.jpg,A_D_110.jpg,B_F108.jpg,B_M62.jpg,B_D_170.jpg,B_D_230.jpg,,,,,,
51,3.2,1.1,win,loss,A_F79.jpg,A_F119.jpg,A_D_051.jpg,A_D_111.jpg,B_M48.jpg,B_M118.jpg,B_D_171.jpg,B_D_231.jpg,,,,,,
52,1.1,1.1,win,win,A_F67.jpg,A_F53.jpg,A_D_052.jpg,A_D_112.jpg,B_F80.jpg,B_F72.jpg,B_D_172.jpg,B_D_232.jpg,,,,,,
53,3.2,1.1,loss,win,A_F81.jpg,A_F95.jpg,A_D_053.jpg,A_D_113.jpg,B_M90.jpg,B_M74.jpg,B_D_173.jpg,B_D_233.jpg,,,,,,
54,3.2,3.2,win,win,A_M89.jpg,A_M05.jpg,A_D_054.jpg,A_D_114.jpg,B_M108.jpg,B_M42.jpg,B_D_174.jpg,B_D_234.jpg,,,,,,
55,1.1,3.2,win,win,A_F107.jpg,A_F29.jpg,A_D_055.jpg,A_D_115.jpg,B_M02.jpg,B_M28.jpg,B_D_175.jpg,B_D_235.jpg,,,,,,
56,1.1,5.3,win,loss,A_F33.jpg,A_F43.jpg,A_D_056.jpg,A_D_116.jpg,B_F100.jpg,B_F28.jpg,B_D_176.jpg,B_D_236.jpg,,,,,,
57,1.1,3.2,win,loss,A_F111.jpg,A_F25.jpg,A_D_057.jpg,A_D_117.jpg,B_F46.jpg,B_F36.jpg,B_D_177.jpg,B_D_237.jpg,,,,,,
58,5.3,1.1,win,loss,A_M15.jpg,A_M23.jpg,A_D_058.jpg,A_D_118.jpg,B_M54.jpg,B_M106.jpg,B_D_178.jpg,B_D_238.jpg,,,,,,
59,5.3,1.1,win,win,A_M99.jpg,A_M43.jpg,A_D_059.jpg,A_D_119.jpg,B_F50.jpg,B_F30.jpg,B_D_179.jpg,B_D_239.jpg,,,,,,
60,5.3,5.3,loss,win,A_M79.jpg,A_M57.jpg,A_D_060.jpg,A_D_120.jpg,B_F88.jpg,B_F110.jpg,B_D_180.jpg,B_D_240.jpg,,,,,,
