TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset,cue_Onset
18,18,2,23,6,3.5,10,1,1.0,17.0,207.66594,207.68266,207.68282,211.19923,211.1994,3.0,1.5829536,212.78235,213.29932,2.1002982,213.29984,219.30338,--
19,19,2,25,6,5,11,5,1.0,18.0,221.29765,221.31435,221.3145,226.33151,226.33167,3.0,1.3821483,227.7138,228.23082,1.8995475,228.23134,234.23456,--
20,20,3,23,6,2,4,10,1.0,19.0,236.22961,236.24608,236.24615,238.26268,238.26282,3.0,1.0831933,239.34601,239.86221,1.5998436,239.8628,245.86612,234.23753
21,21,3,15,6,5,3,1,1.0,20.0,247.86174,247.8781,247.87817,252.89555,252.89569,3.0,0.5321423,253.42783,253.94347,1.0481521,253.94397,259.94696,245.86919
22,22,1,25,2,2,8,11,1.0,21.0,261.9432,261.9597,261.95987,263.97696,263.9771,3.0,1.8325412,265.80966,266.32672,2.3499892,266.32724,268.3302,--
23,23,3,21,2,2,1,7,1.0,22.0,270.32602,270.34225,270.34235,272.35864,272.3588,3.0,0.5001553,272.85895,273.37564,1.0172572,273.3762,275.3794,268.3316
24,24,1,25,4,2,11,5,1.0,23.0,277.3752,277.3915,277.3917,279.40836,279.4085,2.0,1.3005791,280.7091,281.2243,1.8161544,281.2248,285.22787,--
25,25,3,15,4,2,1,7,1.0,24.0,287.2236,287.24045,287.2405,289.25766,289.2578,3.0,0.7165994,289.9744,290.4901,1.2327087,290.49066,294.49377,285.22937
26,26,3,19,2,2,4,6,1.0,25.0,296.48947,296.5061,296.50616,298.5224,298.52252,3.0,1.6831625,300.2057,300.7225,2.2003546,300.72305,302.72638,294.49524
27,27,3,21,2,2,7,9,1.0,26.0,304.72168,304.73834,304.7384,306.75443,306.75458,--,--,--,--,--,--,--,302.72784
28,28,1,25,4,2,11,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,3,17,2,2,5,3,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,2,23,4,2,1,7,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,3,25,4,5,2,11,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,1,17,2,5,3,8,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,2,15,2,3.5,7,5,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,2,25,8,3.5,5,2,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,1,15,4,2,5,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,1,23,2,2,7,1,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
