﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,15,8,0.5,6.75,2.85,1.0,0.0,5.0161157,6.002656,6.0189676,6.0193624,6.5354786,6.5356865,2.0,1.512802,8.048489,8.565504,2.0303965,8.566386,16.581907
2,2,3,23,8,0.5,3.45,0,1.0,1.0,16.583809,18.571032,18.588558,18.588713,19.105482,19.105656,2.0,0.64555764,19.751213,20.263672,1.158441,20.26436,28.28146
3,3,1,21,4,2,9.45,3.99,1.0,2.0,29.2758,30.272686,30.29011,30.290424,32.307804,32.307972,3.0,0.6362636,32.944237,33.45591,1.148367,33.456596,37.464035
4,4,2,17,2,0.5,3.23,1.02,1.0,3.0,38.46025,39.458263,39.4749,39.475216,39.99265,39.992825,--,--,--,--,--,--,--
5,5,2,17,2,0.5,5.95,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,3,23,2,0.5,10.35,7.36,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,15,8,0.5,6.75,2.85,1.0,0.0,5.00088,6.0039477,6.020919,6.0213175,6.5374966,6.537716,999.0,999.0,999.0,10.088058,4.078568,10.616677,18.631378
2,2,3,23,8,0.5,3.45,0,1.0,1.0,18.633213,20.622906,20.639637,20.639797,21.156511,21.156687,--,--,--,--,--,--,--
3,3,1,21,4,2,9.45,3.99,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
4,4,2,17,2,0.5,3.23,1.02,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,2,17,2,0.5,5.95,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,3,23,2,0.5,10.35,7.36,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,15,8,0.5,6.75,2.85,1.0,0.0,4.997081,5.9951515,6.0118637,6.012249,6.528724,6.5289335,3.0,0.5363442,7.065278,7.5794706,1.0510672,7.5802803,15.592109
2,2,3,23,8,0.5,3.45,0,1.0,1.0,15.594067,17.578556,17.594492,17.59456,18.11185,18.11202,2.0,12.890149,31.002169,31.516922,13.405321,31.517595,39.53318
3,3,1,21,4,2,9.45,3.99,1.0,2.0,40.51996,41.51769,41.534443,41.53474,43.5523,43.552464,3.0,1.3638235,44.91629,45.434975,1.8829534,45.43571,49.452267
4,4,2,17,2,0.5,3.23,1.02,1.0,3.0,50.45371,51.43538,51.453316,51.45362,51.970432,51.970604,--,--,--,--,--,--,--
5,5,2,17,2,0.5,5.95,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,3,23,2,0.5,10.35,7.36,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,1,15,8,0.5,6.75,2.85,1.0,0.0,5.002896,5.9994564,6.0331573,6.0335565,6.5512447,6.5514693,999.0,999.0,999.0,9.552908,3.5326452,10.084533,18.099188
2,2,3,23,8,0.5,3.45,0,1.0,1.0,18.101416,20.086565,20.103413,20.103567,20.62086,20.621035,999.0,999.0,999.0,23.637987,3.5344949,24.155865,32.164627
3,3,1,21,4,2,9.45,3.99,1.0,2.0,33.15257,34.14959,34.166336,34.16665,36.18422,36.18439,999.0,999.0,999.0,39.188957,3.523419,39.708145,43.71563
4,4,2,17,2,0.5,3.23,1.02,1.0,3.0,44.709778,45.707825,45.724632,45.724953,46.24255,46.242718,--,--,--,--,--,--,--
5,5,2,17,2,0.5,5.95,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,3,23,2,0.5,10.35,7.36,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
