Var1	Var2	trial_type	rt	Var5	Var6
251.1640825	1.016350319	win	n/a	n/a	n/a
253.9640566	3.339330332	decision	3.332581973	left	B
257.8470581	1.000063091	loss	n/a	n/a	n/a
260.6306681	3.0070451	decision	2.56605619	right	B
264.1807338	1.016198779	win	n/a	n/a	n/a
269.0806633	3.0068516	decision	2.828442244	left	B
272.6306149	1.016571894	win	n/a	n/a	n/a
275.4306181	3.07103452	decision-missed	n/a	n/a	B
279.0469759	1.016537178	win	n/a	n/a	n/a
283.9638858	3.007634657	decision	1.811731187	left	B
287.5136228	1.016554385	win	n/a	n/a	n/a
294.5472145	3.007188791	decision	1.799523766	right	B
298.0969681	1.016617778	win	n/a	n/a	n/a
305.1302836	3.006868505	decision	2.566118074	right	B
308.6802932	0.999997887	win	n/a	n/a	n/a
311.4971641	3.339130191	decision	3.33268793	left	B
315.3803304	1.016652192	loss	n/a	n/a	n/a
318.196976	3.006829865	decision	2.833494684	right	B
321.7467311	1.000154559	win	n/a	n/a	n/a
326.6470447	3.007718578	decision	2.065982684	left	B
330.1969938	1.016567064	loss	n/a	n/a	n/a
337.246871	3.00778499	decision	2.066086226	right	B
340.7966708	1.016628646	win	n/a	n/a	n/a
347.846989	3.006703682	decision	2.828706081	right	B
351.3966447	1.000425036	win	n/a	n/a	n/a
364.7135378	3.007661222	decision	2.065981477	left	B
368.263308	1.016493709	loss	n/a	n/a	n/a
373.1967723	3.00649056	decision	2.066092264	right	B
376.7469792	1.016251003	win	n/a	n/a	n/a
381.6466948	3.006827752	decision	2.066397155	right	B
385.1966829	1.016510312	loss	n/a	n/a	n/a
390.1134938	3.006736888	decision	1.549260609	left	B
393.6633174	1.016631061	loss	n/a	n/a	n/a
400.6967458	3.007197546	decision	2.066082906	right	B
404.247923	1.015503869	loss	n/a	n/a	n/a
407.0800789	3.006399999	decision	2.566073095	right	B
410.629837	1.016752414	loss	n/a	n/a	n/a
417.6632525	3.006822318	decision	2.316060793	right	B
421.2130405	1.000179312	win	n/a	n/a	n/a
424.0132878	3.006296154	decision	2.828699742	right	B
427.5629034	1.000088751	loss	n/a	n/a	n/a
432.4632442	3.006774622	decision	2.566022682	left	B
436.0132018	1.016438466	loss	n/a	n/a	n/a
438.8133556	3.007174603	decision	2.065870689	left	B
442.3629999	1.01646805	win	n/a	n/a	n/a
445.1631527	3.007872231	decision	1.799708512	right	B
448.7130461	1.000054941	win	n/a	n/a	n/a
451.4965184	3.339437497	decision	3.332777284	right	B
455.379563	1.000062488	win	n/a	n/a	n/a
460.2797341	3.006229139	decision	2.567225644	left	B
463.8296256	1.016647664	win	n/a	n/a	n/a
468.7465219	3.090075127	decision	3.083414009	left	B
472.3795887	1.016752715	loss	n/a	n/a	n/a
479.4298015	3.089493419	decision	3.08273389	right	B
483.0628345	1.016678455	loss	n/a	n/a	n/a
488.6298485	3.006462788	decision	2.832776228	right	B
492.179577	1.00010475	loss	n/a	n/a	n/a
494.9965294	3.069390522	decision-missed	n/a	n/a	B
498.6127356	1.000096297	win	n/a	n/a	n/a
501.3965023	3.007319502	decision	2.066193995	right	B
504.9464641	1.016331301	win	n/a	n/a	n/a
NaN	NaN				
