Trial	Onset	Endowment	Response Time	Duration	L_Option	R_Option	Response
37	--	21	18.197792	18.714334	1.2	2.8	3
38	--	21	31.945593	32.463535	0.5	0.7	2
39	--	25	38.1785	38.695766	0.6	1.8	2
40	--	23	50.127247	50.644726	0.2	0.6	2
41	389.92084	23	0.8171914	1.3338892	10.35	0	3
42	400.78745	25	1.1997405	1.7165996	11.25	0	3
43	--	15	14.331635	14.848634	0.4	1.2	2
44	--	21	28.52988	29.045818	0.5	0.7	2
45	--	25	36.34575	36.862793	0.3	1.5	3
46	--	21	47.14459	47.660645	2.8	3.6	3
47	--	15	60.893642	61.409187	0.3	0.5	2
48	--	21	67.79359	68.309326	0.3	2.7	3
49	477.62848	17	0.6000581	1.1165974	4.25	0	2
50	485.27692	19	0.733761	1.2509192	4.75	0	2
51	--	15	12.515895	13.032067	0.9	2.7	2
52	506.84268	15	0.8822518	1.3996367	5.25	0	3
53	--	23	8.831271	9.347714	0.5	0.9	3
54	520.723	17	0.9500808	1.4671907	2.55	0	2
55	526.723	19	0.716408	1.2323312	0.95	0	2
56	--	21	8.782254	9.297799	0.1	0.9	3
57	--	15	15.08113	15.599008	0.3	0.7	2
58	548.35333	25	1.1677201	1.683522	1.25	0	2
59	--	19	10.449167	10.967094	0.1	0.5	2
60	563.852	25	0.4829645	0.9992352	8.75	0	3
61	--	21	8.9818535	9.499187	0.7	0.9	3
62	--	25	15.148205	15.664942	0.2	1.4	3
63	587.5491	17	0.6999035	1.2171892	2.55	0	2
64	597.2976	15	0.7842767	1.3008906	0.75	0	2
65	--	15	9.032689	9.549456	0.2	1.4	3
66	--	15	17.665024	18.181692	0.5	0.9	2
67	--	17	24.414124	24.931196	0.5	0.7	3
68	--	25	30.930334	31.44717	1.4	1.8	3
69	635.2769	23	1.0665152	1.5828925	3.45	0	2
70	--	25	12.398066	12.915783	0.3	0.7	3
71	652.72455	15	1.0668131	1.5842736	2.25	0	2
72	660.3401	15	0.7171579	1.2341758	5.25	0	3
	--		10.832882	11.349032			3
nTrial	decision_onset	Endowment	rt	trialDuration	L_Option	R_Option	resp
1	6.5283933	25	1.8340348	2.3501434	8.75	0	2
2	16.911121	17	1.7163042	2.2334392	4.25	0	3
3	23.676447	17	1.9500905	2.466625	5.95	0	3
4	--	15	999	10.531759	0.3	0.5	999
5	--	15	999	20.097687	0.5	0.7	999
6	--	21	27.413794	27.929953	0.5	0.9	3
7	57.639267	25	0.9001753	1.4165108	6.25	0	2
8	--	19	999	9.481689	0.6	1	999
9	--	19	17.414955	17.931767	0.6	1.4	2
10	--	15	28.86375	29.379923	0.6	1.8	3
11	--	19	40.562294	41.07867	0.1	0.9	3
12	103.25084	25	999	3.5334902	3.75	0	999
13	--	15	15.298366	15.814901	0.3	2.7	3
14	--	17	26.28076	26.797318	0.5	0.9	3
15	--	23	33.67973	34.196617	0.2	0.6	3
16	--	15	44.645138	45.161263	0.3	0.9	3
17	154.4454	19	1.549429	2.066023	0.95	0	3
18	--	23	11.814941	12.331298	0.2	1.4	3
19	--	25	20.8644	21.380077	0.3	0.5	3
20	--	21	27.863636	28.379482	0.4	2.8	3
21	--	25	40.195343	40.711765	0.4	2	3
22	--	21	54.077454	54.59362	0.1	0.7	3
23	--	23	61.025566	61.54202	0.2	1	3
24	--	17	69.5248	70.04128	0.3	2.7	3
25	--	15	79.690216	80.207085	0.5	0.7	3
26	--	23	999	91.27216	0.7	0.9	999
27	250.2506	23	999	3.53241	1.15	0	999
28	--	19	11.782716	12.298332	0.3	0.5	2
29	--	19	999	20.363657	1.4	1.8	999
30	--	15	999	31.929028	1.2	2.8	999
31	--	19	46.144882	46.66122	0.1	0.3	3
32	--	19	55.693703	56.210728	0.3	0.9	3
33	310.99402	17	1.6161478	2.1325314	7.65	0	3
34	322.65918	25	0.8997765	1.4164627	6.25	0	3
35	334.10757	21	1.4169135	1.9338253	9.45	0	3
36	--	19	11.315524	11.832341	0.5	0.9	3
37	--	21	17.381565	17.898281	1.2	2.8	3
38	--	21	31.179737	31.697084	0.5	0.7	3
39	--	25	37.27924	37.79581	0.6	1.8	3
40	--	23	48.478027	48.994804	0.2	0.6	3
41	389.6347	23	999	3.5324597	10.35	0	999
42	402.7005	25	0.0035292	0.5158819	11.25	0	3
43	--	15	12.058111	12.56465	0.4	1.2	2
44	--	21	999	28.129135	0.5	0.7	999
45	--	25	33.91212	34.428406	0.3	1.5	3
46	--	21	44.56081	45.078003	2.8	3.6	3
47	--	15	58.459183	58.97607	0.3	0.5	3
48	--	21	65.175186	65.691826	0.3	2.7	3
49	476.92416	17	1.7838235	2.3000972	4.25	0	3
50	485.75653	19	2.2001958	2.716986	4.75	0	3
51	--	15	13.749232	14.264991	0.9	2.7	3
52	508.5544	15	999	3.5325	5.25	0	999
53	--	23	10.69864	11.215011	0.5	0.9	2
54	524.3021	17	1.9002897	2.4168782	2.55	0	3
55	531.2517	19	1.1000255	1.6169021	0.95	0	3
56	--	21	999	11.682006	0.1	0.9	999
57	--	15	17.31472	17.83084	0.3	0.7	3
58	555.11554	25	2.0836306	2.5993388	1.25	0	3
59	--	19	11.73244	12.249394	0.1	0.5	3
60	571.8963	25	2.8170695	3.3343015	8.75	0	3
61	--	21	10.749473	11.266097	0.7	0.9	3
62	--	25	18.148592	18.665522	0.2	1.4	3
63	598.5941	17	0.0037538	0.5168548	2.55	0	3
64	607.6429	15	0.7668726	1.2828053	0.75	0	3
65	--	15	9.86555	10.381582	0.2	1.4	3
66	--	15	19.264637	19.781511	0.5	0.9	3
67	--	17	26.580553	27.09717	0.5	0.7	3
68	--	25	32.79615	33.31255	1.4	1.8	3
69	647.4877	23	1.3837558	1.9001485	3.45	0	3
70	--	25	999	14.965022	0.3	0.7	999
71	666.9866	15	0.003518701	0.5158624	2.25	0	3
72	673.5352	15	0.9171474	1.4333999	5.25	0	3
	--		9.565469	10.082277			2
