?TrialNumber	nTrial	Block	Endowment	ITI	ISI	L_Option	R_Option	ran	order	ISI_onset	ISI_offset	decision_onset	resp	rt	resp_onset	decision_offset	trialDuration	ITIonset	ITIoffset
17	17	3	19	2	2	0.95	0	1	16	138.32953	140.3471	140.34724	2	0.632415	140.97966	141.49615	1.1492887	141.4967	143.50017
18	18	1	23	4	3.5	0.2	1.4	1	17	145.5119	149.0284	--	3	11.164514	151.51176	152.02794	11.681086	152.02847	156.03151
19	19	1	25	2	0.5	0.3	0.5	1	18	158.0443	158.56104	--	3	19.313314	159.66057	160.17722	19.830355	160.17775	162.18077
20	20	1	21	8	0.5	0.4	2.8	1	19	164.19354	164.70906	--	2	25.69762	166.04488	166.5594	26.212528	166.55992	174.56311
21	21	1	25	8	0.5	0.4	2	1	20	176.57527	177.09288	--	3	38.06118	178.40843	178.92514	38.578316	178.9257	186.92856
22	22	2	21	2	2	0.1	0.7	1	21	188.94073	190.95673	--	2	51.45987	191.80711	192.32372	51.976845	192.32423	194.32729
23	23	2	23	4	0.5	0.2	1	1	22	196.33986	196.85736	--	2	57.492863	197.84012	198.35774	58.01087	198.35826	202.36127
24	24	1	17	6	0.5	0.3	2.7	1	23	204.37218	204.88834	--	2	65.774796	206.12206	206.63861	66.29179	206.63918	212.64243
25	25	1	15	2	0.5	0.5	0.7	1	24	214.6543	215.1717	--	3	76.15662	216.50386	217.02052	76.67363	217.0211	219.02414
26	26	2	23	2	3.5	0.7	0.9	1	25	221.03688	224.55315	--	2	85.10609	225.45334	225.96959	85.62271	225.97015	227.97334
27	27	3	23	2	0.5	1.15	0	1	26	229.98586	230.50235	230.50249	3	2.1335707	232.63606	233.15166	2.6495361	233.15219	235.15543
28	28	1	19	2	2	0.3	0.5	1	27	237.16785	239.18465	--	2	10.799078	241.30156	241.81784	11.315742	241.81836	243.82124
29	29	2	19	4	0.5	1.4	1.8	1	28	245.83418	246.35046	--	3	17.64896	248.15144	248.66736	18.165327	248.66795	252.67085
30	30	1	15	8	2	1.2	2.8	1	29	254.68301	256.69955	--	3	27.813812	258.3163	258.83286	28.330786	258.83344	266.83646
31	31	2	19	2	2	0.1	0.3	1	30	268.84796	270.8654	--	3	42.862263	273.36475	273.88068	43.378548	273.88116	275.88458
32	32	2	19	2	3.5	0.3	0.9	1	31	277.89697	281.4138	--	2	51.961105	282.4636	282.9801	52.47801	282.98065	284.98358
33	33	3	17	4	0.5	7.65	0	1	32	286.99634	287.5126	287.51276	3	1.2170931	288.72986	289.2462	1.7338535	289.24673	293.2504
34	34	3	25	6	3.5	6.25	0	1	33	295.26144	298.7791	298.77924	3	2.3650093	301.14426	301.66132	2.882479	301.66183	307.66473
35	35	3	21	2	2	9.45	0	1	34	309.67654	311.6927	311.69284	3	1.6170931	313.30994	313.8268	2.1343625	313.82733	315.83087
36	36	1	19	2	3.5	0.5	0.9	1	35	317.8423	321.35895	--	2	11.298803	322.99164	323.50787	11.81541	323.5084	325.51083
37	37	2	21	8	0.5	1.2	2.8	1	36	327.5247	328.04224	--	2	18.198559	329.8914	330.4078	18.715359	330.40836	338.41202
38	38	2	21	2	2	0.5	0.7	1	37	340.42273	342.4386	--	2	31.546824	343.23965	343.75555	32.06309	343.75607	345.7602
39	39	1	25	4	0.5	0.6	1.8	1	38	347.7723	348.28897	--	2	38.88076	350.5736	351.08832	39.395966	351.08896	355.0928
40	40	1	23	4	3.5	0.2	0.6	1	39	357.10468	360.62103	--	3	49.99466	361.6875	362.20358	50.511116	362.20416	366.20758
41	41	3	23	4	0.5	10.35	0	1	40	368.21982	368.7373	368.73743	3	0.9658621	369.7033	370.21985	1.4828115	370.22037	374.22336
42	42	3	25	6	3.5	11.25	0	1	41	376.2359	379.75256	379.75272	3	0.6329206	380.38562	380.90222	1.1498704	380.90277	386.90607
43	43	2	15	8	3.5	0.4	1.2	1	42	388.9175	392.4345	--	2	14.763943	394.51666	395.03333	15.280991	395.03384	403.03772
44	44	2	21	2	2	0.5	0.7	1	43	405.04886	407.06552	--	3	28.680445	408.43317	408.9483	29.195951	408.94882	410.95285
45	45	2	25	6	0.5	0.3	1.5	1	44	412.96497	413.4818	--	3	35.395195	415.14792	415.66473	35.912437	415.66528	421.66855
46	46	2	21	8	0.5	2.8	3.6	1	45	423.6802	424.19675	--	2	45.877674	425.6304	426.14645	46.394188	426.14703	434.15082
47	47	1	15	2	2	0.3	0.5	1	46	436.16214	438.1787	--	2	60.375526	440.12823	440.64484	60.89248	440.64536	442.64792
48	48	1	21	6	0.5	0.3	2.7	1	47	444.66138	445.178	--	2	66.54185	446.29456	446.8113	67.05904	446.8119	452.8149
49	49	3	17	4	0.5	4.25	0	1	48	454.82672	455.3434	455.34357	2	0.6667559	456.0103	456.5254	1.1822256	456.52594	460.52872
50	50	3	19	6	0.5	4.75	0	1	49	462.54227	463.05865	463.05878	2	0.0036023	463.06238	463.5762	0.5178273	463.57675	469.57968
51	51	2	15	6	2	0.9	2.7	1	50	471.591	473.608	--	3	11.632137	474.69092	475.20728	12.148911	475.20782	481.21106
52	52	3	15	2	0.5	5.25	0	1	51	483.2229	483.73972	483.73987	2	0.6164492	484.35632	484.87265	1.133323	484.87338	486.87625
53	53	2	23	2	2	0.5	0.9	1	52	488.8893	490.90598	--	3	8.08279	491.82266	492.33875	8.599243	492.3393	494.3432
54	54	3	17	2	0.5	2.55	0	1	53	496.3554	496.87106	496.87122	2	1.2173212	498.08853	498.60477	1.7339782	498.60532	500.6089
55	55	3	19	4	0.5	0.95	0	1	54	502.62085	503.13727	503.13742	2	1.4345522	504.572	505.0883	1.9512393	505.0888	509.09164
56	56	2	21	2	0.5	0.1	0.9	1	55	511.1036	511.62012	--	2	9.566162	512.7036	513.2197	10.082692	513.2203	515.22406
57	57	1	15	2	0.5	0.3	0.7	1	56	517.2359	517.75287	--	2	15.533272	518.6707	519.18567	16.048622	519.18616	521.1899
58	58	3	25	2	2	1.25	0	1	57	523.2022	525.21893	525.2191	2	0.883283	526.10236	526.6191	1.4003748	526.6196	528.6232
59	59	1	19	2	3.5	0.1	0.5	1	58	530.6343	534.1519	--	2	8.943675	534.1628	534.68164	9.462922	534.6821	536.6863
60	60	3	25	4	0.5	8.75	0	1	59	538.7003	539.21686	539.21704	3	0.5665681	539.78357	540.3002	1.083518	540.3007	544.3039
61	61	1	21	2	0.5	0.7	0.9	1	60	546.31604	546.8325	--	2	9.248501	548.4655	548.9826	9.765996	548.98315	550.98663
62	62	2	25	4	0.5	0.2	1.4	1	61	552.9984	553.5152	--	2	15.898176	555.1152	555.6318	16.41515	555.6323	559.6359
63	63	3	17	6	2	2.55	0	1	62	561.6472	563.66394	563.66406	2	0.7333854	564.39746	564.9142	1.2504768	564.9147	570.9184
64	64	3	15	2	0.5	0.75	0	1	63	572.9294	573.4471	573.4472	2	1.5161948	574.96344	575.4789	2.0320258	575.47943	577.4836
65	65	1	15	4	2	0.2	1.4	1	64	579.49536	581.5118	--	2	10.298329	583.74554	584.26184	10.81501	584.2624	588.2654
66	66	1	15	2	0.5	0.5	0.9	1	65	590.2775	590.79443	--	3	18.497139	591.94434	592.461	19.014126	592.4615	594.46515
67	67	1	17	2	0.5	0.5	0.7	1	66	596.4765	596.9936	--	3	24.596073	598.0433	598.55945	25.112612	598.56	600.5635
68	68	2	25	4	0.5	1.4	1.8	1	67	602.5763	603.09247	--	2	31.312347	604.7596	605.2756	31.828764	605.2761	609.2792
69	69	3	23	4	0.5	3.45	0	1	68	611.2922	611.8079	611.80804	2	0.067495	611.87555	612.3922	0.5845377	612.3927	616.3958
70	70	2	25	2	3.5	0.3	0.7	1	69	618.4076	621.92487	--	2	11.983082	623.79114	624.3067	12.499006	624.3072	626.3103
71	71	3	15	2	0.5	2.25	0	1	70	628.32336	628.8409	628.84106	2	2.7483535	631.5894	632.10693	3.2662232	632.1074	634.11066
72	72	3	15	4	2	5.25	0	1	71	636.1224	638.13916	638.13934	3	0.5497183	638.689	639.2048	1.0658097	639.20526	643.20905
73				3.611111111	1.416666667			1	72	645.2212	646.6555	--	3	10.315498	648.45483	648.971	10.83205	648.9715	652.58734
?TrialNumber	nTrial	Block	Endowment	ITI	ISI	L_Option	R_Option	ran	order	ISI_onset	ISI_offset	decision_onset	resp	rt	resp_onset	decision_offset	trialDuration	ITIonset	ITIoffset
1	1	3	25	4	0.5	8.75	0	1	0	6.0105195	6.527334	6.5275073	3	0.0043165	6.5318236	7.0440826	0.5171328	7.04484	11.047652
2	2	3	17	2	2	4.25	0	1	1	13.059404	15.076586	15.076737	2	0.7661276	15.842865	16.358545	1.2821832	16.359055	18.362125
3	3	3	17	2	0.5	5.95	0	1	2	20.375036	20.892675	20.892818	3	0.6822459	21.575064	22.091387	1.1989416	22.091892	24.09492
4	4	2	15	2	0.5	0.3	0.5	1	3	26.10799	26.625284	--	2	6.4647646	27.357582	27.873976	6.9815497	27.874517	29.87687
5	5	2	15	2	2	0.5	0.7	1	4	31.890268	33.90723	--	3	13.464608	34.357426	34.873917	13.981531	34.87448	36.877457
6	6	1	21	2	0.5	0.5	0.9	1	5	38.889923	39.406925	--	3	19.363777	40.256596	40.772987	19.880556	40.773514	42.7764
7	7	3	25	2	2	6.25	0	1	6	44.78923	46.80572	46.805866	3	0.4169587	47.222828	47.738945	0.9334417	47.739475	49.74254
8	8	2	19	4	0.5	0.6	1	1	7	51.755283	52.27132	--	2	5.549628	52.355495	52.87128	6.0657697	52.871796	56.87573
9	9	1	19	4	0.5	0.6	1.4	1	8	58.887688	59.404533	--	3	12.931613	59.73748	60.254364	13.448865	60.254864	64.25864
10	10	2	15	4	3.5	0.6	1.8	1	9	66.26995	69.78684	--	2	23.780146	70.58601	71.10231	24.296808	71.102806	75.10581
11	11	1	19	2	3.5	0.1	0.9	1	10	77.11872	80.63615	--	3	34.345955	81.151825	81.66877	34.863293	81.66929	83.67254
12	12	3	25	6	0.5	3.75	0	1	11	85.68428	86.20148	86.201614	2	0.003686801	86.2053	86.71838	0.5171387	86.71895	92.7225
13	13	1	15	6	2	0.3	2.7	1	12	94.73329	96.75086	--	3	11.198598	97.400215	97.9176	11.716386	97.91813	103.9215
14	14	1	17	2	0.5	0.5	0.9	1	13	105.9321	106.448975	--	2	20.914019	107.11563	107.63222	21.43112	107.63293	109.63642
15	15	2	23	4	0.5	0.2	0.6	1	14	111.647995	112.16512	--	3	26.397964	112.59958	113.1146	26.91341	113.11517	117.11885
16	16	2	15	2	2	0.3	0.9	1	15	119.13116	121.14756	--	3	35.36225	121.563866	122.07998	35.87874	122.08048	124.08288
17	17	3	19	2	2	0.95	0	1	16	126.09642	128.11356	128.11371	3	0.6325869	128.74629	129.26233	1.1490334	129.26286	131.2659
18	18	1	23	4	3.5	0.2	1.4	1	17	133.27893	136.79662	--	2	9.397901	137.5116	138.02898	9.915646	138.02948	142.03299
19	19	1	25	2	0.5	0.3	0.5	1	18	144.04474	144.56107	--	3	16.897524	145.01123	145.52785	17.414558	145.52841	147.53192
20	20	1	21	8	0.5	0.4	2.8	1	19	149.54352	150.06075	--	2	22.396748	150.51045	151.02728	22.913975	151.0278	159.03113
21	21	1	25	8	0.5	0.4	2	1	20	161.04228	161.5598	--	3	33.878613	161.99231	162.50859	34.395264	162.50912	170.51227
22	22	2	21	2	2	0.1	0.7	1	21	172.52435	174.5409	--	2	46.944088	175.05779	175.57454	47.46121	175.57512	177.5781
23	23	2	23	4	0.5	0.2	1	1	22	179.59044	180.10728	--	3	52.7597	180.8734	181.38939	53.276043	181.38991	185.39377
24	24	1	17	6	0.5	0.3	2.7	1	23	187.40636	187.92245	--	2	60.742435	188.85614	189.37234	61.259007	189.37283	195.37604
25	25	1	15	2	0.5	0.5	0.7	1	24	197.38824	197.90517	--	2	71.1742	199.2879	199.80443	71.691124	199.80498	201.8081
26	26	2	23	2	3.5	0.7	0.9	1	25	203.82129	207.33743	--	2	80.37308	208.48677	209.00366	80.890335	209.00417	211.00754
27	27	3	23	2	0.5	1.15	0	1	26	213.0196	213.53693	213.53708	2	1.1507224	214.68779	215.20251	1.665817	215.20302	217.20609
28	28	1	19	2	2	0.3	0.5	1	27	219.2192	221.23587	--	3	8.381733	221.91881	222.435	8.898294	222.43553	224.43881
29	29	2	19	4	0.5	1.4	1.8	1	28	226.45155	226.96815	--	2	14.18105	227.71812	228.23546	14.698751	228.236	232.23909
30	30	1	15	8	2	1.2	2.8	1	29	234.25081	236.2678	--	3	23.596714	237.13379	237.65065	24.113989	237.6512	245.6541
31	31	2	19	2	2	0.1	0.3	1	30	247.66603	249.68254	--	2	36.99526	250.53233	251.04912	37.51245	251.04965	253.05357
32	32	2	19	2	3.5	0.3	0.9	1	31	255.06476	258.58194	--	3	45.577717	259.11478	259.63095	46.094254	259.63147	261.63513
33	33	3	17	4	0.5	7.65	0	1	32	263.64725	264.16373	264.16388	2	0.3837981	264.54767	265.0638	0.900296	265.0643	269.0675
34	34	3	25	6	3.5	6.25	0	1	33	271.0798	274.5958	274.59595	3	0.0034425	274.5994	275.11362	0.5181079	275.11417	281.1176
35	35	3	21	2	2	9.45	0	1	34	283.12817	285.1457	285.14584	2	0.4993708	285.6452	286.1615	1.0160322	286.16202	288.16504
36	36	1	19	2	3.5	0.5	0.9	1	35	290.1777	293.69492	--	3	8.556462	293.7023	294.2104	9.064933	294.21094	296.21484
37	37	2	21	8	0.5	1.2	2.8	1	36	298.2268	298.7428	--	2	14.347189	299.493	300.0101	14.864649	300.01062	308.01456
38	38	2	21	2	2	0.5	0.7	1	37	310.0255	312.04114	--	2	27.395874	312.54172	313.05838	27.912931	313.0589	315.06186
39	39	1	25	4	0.5	0.6	1.8	1	38	317.074	317.5917	--	3	33.129326	318.27515	318.79037	33.64491	318.79086	322.79422
40	40	1	23	4	3.5	0.2	0.6	1	39	324.80685	328.32416	--	2	43.81097	328.9568	329.47287	44.3274	329.47336	333.47644
41	41	3	23	4	0.5	10.35	0	1	40	335.4892	336.00565	336.0058	3	0.4000279	336.40582	336.92126	0.9158424	336.92175	340.9247
42	42	3	25	6	3.5	11.25	0	1	41	342.9383	346.4549	346.45502	2	0.5164494	346.97147	347.4881	1.0334493	347.48862	353.49243
43	43	2	15	8	3.5	0.4	1.2	1	42	355.50336	359.01984	--	3	13.1644945	359.6195	360.13586	13.681207	360.13635	368.14014
44	44	2	21	2	2	0.5	0.7	1	43	370.15158	372.1688	--	2	26.279903	372.73492	373.25208	26.797443	373.2526	375.25632
45	45	2	25	6	0.5	0.3	1.5	1	44	377.26752	377.78452	--	3	32.379654	378.8347	379.35086	32.89625	379.3514	385.35452
46	46	2	21	8	0.5	2.8	3.6	1	45	387.3663	387.88272	--	2	42.06158	388.5166	389.0326	42.577934	389.03308	397.0364
47	47	1	15	2	2	0.3	0.5	1	46	399.04846	401.06598	--	3	54.622066	401.0771	401.59845	55.1438	401.599	403.60245
48	48	1	21	6	0.5	0.3	2.7	1	47	405.6143	406.12997	--	2	60.25914	406.71417	407.23108	60.77648	407.23163	413.23453
49	49	3	17	4	0.5	4.25	0	1	48	415.24603	415.76303	415.76318	3	0.4338154	416.197	416.7124	0.9496307	416.71295	420.7158
50	50	3	19	6	0.5	4.75	0	1	49	422.72903	423.24634	423.24646	2	0.5658341	423.81232	424.32867	1.0825769	424.32922	430.3321
51	51	2	15	6	2	0.9	2.7	1	50	432.34418	434.36096	--	2	11.648394	434.89487	435.41025	12.164152	435.41077	441.4138
52	52	3	15	2	0.5	5.25	0	1	51	443.42676	443.9438	443.94394	3	0.4155046	444.35944	444.87576	0.9321979	444.87625	446.87924
53	53	2	23	2	2	0.5	0.9	1	52	448.89267	450.90976	--	3	7.4822316	451.42615	451.94275	7.999353	451.94345	453.94647
54	54	3	17	2	0.5	2.55	0	1	53	455.95837	456.4755	456.47565	3	0.6829758	457.15863	457.6753	1.2000434	457.6758	459.67874
55	55	3	19	4	0.5	0.95	0	1	54	461.6912	462.20737	462.20752	3	0.0036106	462.21112	462.7243	0.5171788	462.72482	466.72806
56	56	2	21	2	0.5	0.1	0.9	1	55	468.7401	469.25708	--	2	7.500744	469.70825	470.22345	8.016334	470.22397	472.22757
57	57	1	15	2	0.5	0.3	0.7	1	56	474.24	474.75696	--	2	13.084041	475.29156	475.80673	13.599608	475.80725	477.8102
58	58	3	25	2	2	1.25	0	1	57	479.82224	481.83942	481.83957	2	0.3329028	482.1725	482.68942	0.8502649	482.68997	484.69315
59	59	1	19	2	3.5	0.1	0.5	1	58	486.7044	490.22195	--	3	8.815116	490.6547	491.17178	9.332569	491.17227	493.17548
60	60	3	25	4	0.5	8.75	0	1	59	495.18735	495.70425	495.70438	2	0.5497322	496.25412	496.77063	1.0666014	496.77115	500.77493
61	61	1	21	2	0.5	0.7	0.9	1	60	502.78653	503.30316	--	2	8.165529	503.8699	504.38678	8.682788	504.3873	506.3903
62	62	2	25	4	0.5	0.2	1.4	1	61	508.402	508.91974	--	3	13.63173	509.33612	509.85233	14.14847	509.853	513.8558
63	63	3	17	6	2	2.55	0	1	62	515.8677	517.885	517.88513	3	0.5830667	518.4682	518.9847	1.0998975	518.98517	524.98816
64	64	3	15	2	0.5	0.75	0	1	63	527.00037	527.5178	527.51794	3	0.3994725	527.9174	528.4337	0.9161756	528.43427	530.4376
65	65	1	15	4	2	0.2	1.4	1	64	532.4493	534.46674	--	3	7.4483023	534.96625	535.48285	7.9652624	535.48334	539.48645
66	66	1	15	2	0.5	0.5	0.9	1	65	541.49854	542.0154	--	3	15.030838	542.54877	543.0654	15.547913	543.066	545.069
67	67	1	17	2	0.5	0.5	0.7	1	66	547.0811	547.5983	--	3	20.596972	548.1149	548.63226	21.114712	548.63275	550.63574
68	68	2	25	4	0.5	1.4	1.8	1	67	552.64746	553.1646	--	2	26.230034	553.748	554.2639	26.746344	554.2644	558.2676
69	69	3	23	4	0.5	3.45	0	1	68	560.27954	560.79706	560.7972	3	0.0038054	560.801	561.3132	0.5163204	561.31366	565.3175
70	70	2	25	2	3.5	0.3	0.7	1	69	567.3286	570.8461	--	3	10.698348	571.49554	572.0117	11.214873	572.01227	574.01544
71	71	3	15	2	0.5	2.25	0	1	70	576.028	576.54504	576.54517	2	0.4498675	576.99506	577.5103	0.9655434	577.51086	579.51385
72	72	3	15	4	2	5.25	0	1	71	581.5274	583.5435	583.54364	2	0.4674312	584.01105	584.5274	0.9841367	584.5279	588.532
73				3.611111111	1.416666667			1	72	590.5427	591.9767	--	3	9.165875	592.70953	593.22577	9.682498	593.22626	596.8419
?TrialNumber	nTrial	Block	Endowment	ITI	ISI	L_Option	R_Option	ran	order	ISI_onset	ISI_offset	decision_onset	resp	rt	resp_onset	decision_offset	trialDuration	ITIonset	ITIoffset
1	1	3	25	4	0.5	8.75	0	1	0	6.01528	6.532483	6.5326633	999	999	999	9.548302	3.5328636	10.065795	14.067947
2	2	3	17	2	2	4.25	0	1	1	16.080904	18.098166	18.098309	2	1.4489554	19.547264	20.063915	1.9659983	20.06444	22.067533
3	3	3	17	2	0.5	5.95	0	1	2	24.07964	24.596485	24.596634	3	1.1666725	25.763308	26.279535	1.6832651	26.280054	28.283743
4	4	2	15	2	0.5	0.3	0.5	1	3	30.295837	30.81207	--	3	8.749221	33.345856	33.86245	9.266204	33.862984	35.86661
5	5	2	15	2	2	0.5	0.7	1	4	37.8783	39.89525	--	3	17.264812	41.861446	42.37756	17.781307	42.37811	44.38196
6	6	1	21	2	0.5	0.5	0.9	1	5	46.393883	46.90973	--	3	24.047327	48.643963	49.160633	24.564413	49.161205	51.164364
7	7	3	25	2	2	6.25	0	1	6	53.17664	55.194313	55.19446	2	1.5319455	56.726406	57.24332	2.049235	57.24383	59.247753
8	8	2	19	4	0.5	0.6	1	1	7	61.259453	61.77639	--	3	8.598142	63.792603	64.3083	9.11422	64.30882	68.31224
9	9	1	19	4	0.5	0.6	1.4	1	8	70.32446	70.84096	--	3	18.279982	73.47444	73.991196	18.797125	73.99173	77.99538
10	10	2	15	4	3.5	0.6	1.8	1	9	80.00693	83.52372	--	3	30.495245	85.689705	86.20626	31.012156	86.20676	90.21
11	11	1	19	2	3.5	0.1	0.9	1	10	92.222115	95.7387	--	3	43.560646	98.755104	99.27125	44.07715	99.271774	101.27576
12	12	3	25	6	0.5	3.75	0	1	11	103.288216	103.80555	103.80569	2	2.2655308	106.07122	106.586945	2.7816336	106.58747	112.59124
13	13	1	15	6	2	0.3	2.7	1	12	114.603	116.619835	--	3	15.564199	119.36989	119.88631	16.080986	119.88681	125.88984
14	14	1	17	2	0.5	0.5	0.9	1	13	127.901924	128.41931	--	2	26.529547	130.33524	130.85193	27.046623	130.85245	132.85553
15	15	2	23	4	0.5	0.2	0.6	1	14	134.86748	135.38464	--	3	33.94523	137.75092	138.26746	34.462154	138.26797	142.27098
16	16	2	15	2	2	0.3	0.9	1	15	144.28322	146.30028	--	2	43.877197	147.68289	148.20067	44.395382	148.2012	150.20448
17	17	3	19	2	2	0.95	0	1	16	152.21544	154.23228	154.23244	3	2.4994886	156.73192	157.24808	3.016034	157.24861	159.25166
18	18	1	23	4	3.5	0.2	1.4	1	17	161.26427	164.7816	--	3	13.148359	167.38078	167.89786	13.665836	167.89839	171.90154
19	19	1	25	2	0.5	0.3	0.5	1	18	173.9134	174.42943	--	3	22.430573	176.66301	177.17897	22.946892	177.17949	179.18286
20	20	1	21	8	0.5	0.4	2.8	1	19	181.19548	181.71284	--	2	29.362972	183.5954	184.11147	29.879393	184.11203	192.11555
21	21	1	25	8	0.5	0.4	2	1	20	194.12741	194.64476	--	2	42.594933	196.82736	197.34369	43.111618	197.34418	205.34703
22	22	2	21	2	2	0.1	0.7	1	21	207.35934	209.37521	--	3	57.659847	211.89227	212.40875	58.176674	212.40927	214.41241
23	23	2	23	4	0.5	0.2	1	1	22	216.42448	216.9419	--	3	64.69237	218.9248	219.44133	65.209274	219.44185	223.44524
24	24	1	17	6	0.5	0.3	2.7	1	23	225.45746	225.97359	--	2	73.041405	227.27383	227.79115	73.55916	227.79172	233.79468
25	25	1	15	2	0.5	0.5	0.7	1	24	235.80551	236.32204	--	2	83.85703	238.08946	238.60663	84.374626	238.6072	240.61046
26	26	2	23	2	3.5	0.7	0.9	1	25	242.6216	246.13812	--	2	93.188576	247.421	247.93782	93.70576	247.93832	249.94199
27	27	3	23	2	0.5	1.15	0	1	26	251.9538	252.47029	252.47043	3	2.0834105	254.55385	255.07126	2.6012244	255.07181	257.07513
28	28	1	19	2	2	0.3	0.5	1	27	259.0865	261.10352	--	2	10.799487	263.26993	263.78625	11.316232	263.7868	265.7896
29	29	2	19	4	0.5	1.4	1.8	1	28	267.8021	268.31946	--	999	999	999	271.3352	19.381666	271.85233	275.8555
30	30	1	15	8	2	1.2	2.8	1	29	277.86768	279.88452	--	2	28.697426	281.16785	281.68417	29.2141	281.68466	289.68875
31	31	2	19	2	2	0.1	0.3	1	30	291.69998	293.7159	--	3	42.46227	294.9327	295.44952	42.97945	295.45	297.45303
32	32	2	19	2	3.5	0.3	0.9	1	31	299.46555	302.98236	--	3	52.644287	305.11472	305.63135	53.161266	305.63184	307.635
33	33	3	17	4	0.5	7.65	0	1	32	309.6473	310.1645	310.16464	3	0.9661165	311.13077	311.64737	1.4831065	311.6479	315.65094
34	34	3	25	6	3.5	6.25	0	1	33	317.6635	321.17975	321.1799	3	1.0162177	322.1961	322.71356	1.534097	322.7141	328.71808
35	35	3	21	2	2	9.45	0	1	34	330.7285	332.7453	332.74542	3	0.8828501	333.6283	334.14517	1.4001303	334.1457	336.14893
36	36	1	19	2	3.5	0.5	0.9	1	35	338.1608	341.67715	--	999	999	999	344.69357	12.465292	345.2109	347.2142
37	37	2	21	8	0.5	1.2	2.8	1	36	349.22626	349.7432	--	3	18.197792	350.94324	351.45938	18.714334	351.4599	359.46332
38	38	2	21	2	2	0.5	0.7	1	37	361.4748	363.49167	--	2	31.945593	364.691	365.2086	32.463535	365.2091	367.21204
39	39	1	25	4	0.5	0.6	1.8	1	38	369.22406	369.74094	--	2	38.1785	370.92392	371.44083	38.695766	371.44135	375.44522
40	40	1	23	4	3.5	0.2	0.6	1	39	377.45615	380.9731	--	2	50.127247	382.87268	383.3898	50.644726	383.39032	387.39365
41	41	3	23	4	0.5	10.35	0	1	40	389.40457	389.9207	389.92084	3	0.8171914	390.73804	391.25433	1.3338892	391.25485	395.25833
42	42	3	25	6	3.5	11.25	0	1	41	397.27078	400.7873	400.78745	3	1.1997405	401.98718	402.5037	1.7165996	402.50418	408.50723
43	43	2	15	8	3.5	0.4	1.2	1	42	410.51938	414.03568	--	2	14.331635	415.11908	415.6357	14.848634	415.6362	423.63992
44	44	2	21	2	2	0.5	0.7	1	43	425.65048	427.6671	--	2	28.52988	429.31732	429.83282	29.045818	429.8334	431.83676
45	45	2	25	6	0.5	0.3	1.5	1	44	433.84995	434.36606	--	3	36.34575	437.1332	437.64987	36.862793	437.6504	443.6528
46	46	2	21	8	0.5	2.8	3.6	1	45	445.66483	446.18146	--	3	47.14459	447.93204	448.44772	47.660645	448.44824	456.45142
47	47	1	15	2	2	0.3	0.5	1	46	458.4638	460.4801	--	2	60.893642	461.6811	462.19626	61.409187	462.19678	464.19977
48	48	1	21	6	0.5	0.3	2.7	1	47	466.21283	466.7297	--	3	67.79359	468.58102	469.0964	68.309326	469.0969	475.10065
