TrialNumber,ISI,ITI,L_Option,Endowment,R_Option,nTrial,Block,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
23,1.5,8,10,23,7,23,2,1.0,22.0,236.119,237.118,237.135,237.135,238.651,238.651,2.0,1.61791,240.269,242.167,3.51671,242.168,250.173
24,1.5,1,10,23,7,24,1,1.0,23.0,251.169,252.168,252.185,252.186,253.701,253.702,2.0,1.70023,255.402,257.217,3.51592,257.218,258.222
25,1.5,5,9,21,4,25,1,1.0,24.0,259.22,260.218,260.235,260.235,261.751,261.752,2.0,2.20066,263.952,265.267,3.51537,265.267,270.272
26,3,1,3,15,7,26,1,1.0,25.0,271.27,272.268,272.285,272.285,275.301,275.301,3.0,1.53421,276.835,278.816,3.51521,278.817,279.82
27,1.5,1,0,15,1,27,3,1.0,26.0,280.819,281.818,281.835,281.835,283.351,283.351,2.0,1.86694,285.218,286.868,3.51654,286.868,287.873
28,3,3,4,23,7,28,2,1.0,27.0,288.869,289.868,289.885,289.885,292.901,292.902,3.0,1.45045,294.352,296.417,3.51569,296.417,299.421
29,3,1,9,21,1,29,2,1.0,28.0,300.419,301.418,301.435,301.435,304.451,304.452,2.0,1.46685,305.918,307.967,3.51627,307.968,308.972
30,4.5,3,8,25,0,30,3,1.0,29.0,309.969,310.968,310.985,310.985,315.502,315.502,3.0,2.78323,318.285,319.018,3.51662,319.018,322.023
31,1.5,1,1,21,7,31,2,1.0,30.0,323.019,324.018,324.035,324.035,325.551,325.551,3.0,1.28358,326.835,329.068,3.51723,329.069,330.074
32,3,3,3,15,0,32,3,1.0,31.0,331.069,332.068,332.084,332.084,335.102,335.102,2.0,2.21623,337.318,338.618,3.51619,338.618,341.624
33,1.5,5,3,17,8,33,1,1.0,32.0,342.619,343.618,343.635,343.635,345.152,345.152,3.0,1.78307,346.935,348.667,3.51558,348.668,353.672
34,4.5,1,5,17,1,34,1,1.0,33.0,354.669,355.668,355.685,355.685,360.201,360.201,2.0,1.23384,361.435,363.718,3.51673,363.718,364.722
35,1.5,8,7,21,9,35,2,1.0,34.0,365.719,366.718,366.734,366.735,368.252,368.252,3.0,1.21646,369.468,371.768,3.51615,371.768,379.773
36,1.5,1,6,19,4,36,1,1.0,35.0,380.769,381.768,381.785,381.785,383.301,383.301,2.0,1.45019,384.752,386.818,3.51674,386.818,387.823
