TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset,cue_Onset
14,14,3,25,2,5,2,5,1.0,13.0,140.81444,140.83159,140.83168,145.84706,145.84721,3.0,1.2002122,147.04742,147.56464,1.7178453,147.5652,149.56812,138.82011
15,15,2,25,6,2,8,5,1.0,14.0,151.56422,151.58206,151.58228,153.59651,153.59666,3.0,1.9505018,155.54716,156.06236,2.466094,156.06294,162.06636,--
16,16,1,23,2,3.5,7,10,1.0,15.0,164.06209,164.07872,164.07893,167.59581,167.59596,3.0,1.2992117,168.89519,169.41142,1.8158479,169.41196,171.41512,--
17,17,2,15,4,3.5,7,3,1.0,16.0,173.41101,173.42749,173.4277,176.94418,176.94434,3.0,1.3830698,178.32741,178.8443,1.9003531,178.84483,182.84769,--
18,18,1,17,8,2,1,5,1.0,17.0,184.84306,184.85979,184.85995,186.87677,186.87694,3.0,1.9329039,188.80983,189.32591,2.4493656,189.32643,197.32991,--
19,19,3,23,4,3.5,1,4,1.0,18.0,199.32492,199.34157,199.34164,202.85869,202.85884,3.0,0.5507875,203.40962,203.92363,1.0651753,203.9242,207.9271,197.33206
20,20,1,21,2,2,7,1,1.0,19.0,209.92343,209.94017,209.94041,211.95673,211.95688,2.0,1.8498812,213.80675,214.32317,2.3666978,214.32372,216.32701,--
21,21,1,23,6,2,10,1,1.0,20.0,218.32242,218.33916,218.33939,220.35574,220.35591,2.0,2.2665155,222.62242,223.13928,2.783786,223.13983,229.14204,--
22,22,2,21,4,3.5,4,7,1.0,21.0,231.13766,231.15428,231.15454,234.67072,234.67087,2.0,1.1000352,235.7709,236.28821,1.6177511,236.28877,240.29218,--
23,23,2,17,4,5,5,1,1.0,22.0,242.28627,242.30301,242.30319,247.31924,247.31941,3.0,1.3000863,248.61949,249.13593,1.816971,249.13652,253.1398,--
24,24,3,21,2,2,7,4,1.0,23.0,255.13507,255.15172,255.15181,257.1682,257.16837,3.0,0.5664622,257.73483,258.2513,1.0833178,258.25183,260.2551,253.14276
25,25,3,15,4,5,3,5,1.0,24.0,262.25095,262.26752,262.26758,267.28436,267.28452,3.0,0.5992044,267.88373,268.39975,1.1156222,268.40027,272.40353,260.25793
26,26,3,15,8,2,7,3,1.0,25.0,274.39957,274.41614,274.4162,276.43262,276.4328,3.0,0.3832514,276.81604,277.33255,0.9001417,277.33307,285.33597,272.40497
27,27,2,17,2,3.5,8,1,1.0,26.0,287.33118,287.34796,287.3482,290.86505,290.86526,3.0,1.049145,291.9144,292.43134,1.5664692,292.43185,294.43524,--
28,28,2,21,2,2,9,7,1.0,27.0,296.43008,296.44666,296.44693,298.46332,298.46347,3.0,1.8331555,300.29663,300.8133,2.350273,300.8139,302.81674,--
29,29,3,23,4,2,7,4,1.0,28.0,304.8129,304.82944,304.8295,306.8462,306.84634,3.0,0.6993409,307.5457,308.0629,1.2169298,308.0634,312.06653,302.81943
30,30,3,17,2,2,5,8,1.0,29.0,314.06165,314.07828,314.0784,316.0941,316.09424,3.0,0.6842633,316.7785,317.295,1.201163,317.29562,319.29825,312.06808
31,31,1,21,4,3.5,7,9,1.0,30.0,321.29385,321.31064,321.31094,324.82755,324.8277,3.0,1.132876,325.96057,326.47696,1.6496433,326.47748,330.48068,--
32,32,2,19,2,3.5,1,6,1.0,31.0,332.4763,332.49265,332.4929,336.00992,336.01007,2.0,1.0824099,337.09247,337.60876,1.5991004,337.6093,339.61243,--
33,33,3,15,2,2,7,3,1.0,32.0,341.60855,341.62543,341.62552,343.64172,343.64188,3.0,0.7330897,344.37494,344.8917,1.2502223,344.8922,346.89594,339.61383
34,34,1,25,4,5,2,11,1.0,33.0,348.89093,348.90735,348.90765,353.92496,353.9251,3.0,1.1487396,355.07385,355.59036,1.6656615,355.5909,359.59393,--
35,35,1,23,2,2,4,1,1.0,34.0,361.58923,361.60602,361.60623,363.6229,363.62305,2.0,1.1001722,364.7232,365.23938,1.6167163,365.2399,367.24298,--
36,36,2,17,2,3.5,1,8,1.0,35.0,369.23865,369.25522,369.25555,372.77155,372.7717,2.0,0.9834465,373.75516,374.27148,1.5002863,374.27213,376.27496,--
