Var1	Var2	trial_type	rt	Var5	Var6
329.8762736	1.016171611	loss	NaN	n/a	n/a
336.9429869	3.006283174	decision	1.810050361	right	B
340.4927489	1.016436655	win	NaN	n/a	n/a
347.5594132	3.007064118	decision	2.577794803	right	B
351.1095939	1.016224439	win	NaN	n/a	n/a
364.4927296	3.006909257	decision	1.549348454	left	B
368.0425326	1.000103844	loss	NaN	n/a	n/a
373.0092735	3.006812356	decision	1.549561274	right	B
376.5591699	1.016642834	win	NaN	n/a	n/a
381.5429303	3.007060496	decision	1.80981309	right	B
385.0924886	1.000025055	loss	NaN	n/a	n/a
390.0427116	3.006641497	decision	1.299217818	left	B
393.5926804	1.016423373	loss	NaN	n/a	n/a
400.6926105	3.007008573	decision	1.300406592	left	B
404.2421008	1.016844787	loss	NaN	n/a	n/a
407.0921541	3.007829969	decision	1.81051283	left	B
410.642685	1.016175233	loss	NaN	n/a	n/a
417.7090556	3.007176716	decision	2.065883972	right	B
421.2593537	1.016422467	win	NaN	n/a	n/a
424.7428502	3.007965811	decision	1.81033714	right	B
428.2927366	1.016353036	loss	NaN	n/a	n/a
433.2258489	3.006709116	decision	1.810413212	left	B
436.775578	1.016507595	loss	NaN	n/a	n/a
439.7922831	3.006920125	decision	1.810502868	left	B
443.3421196	1.000266855	win	NaN	n/a	n/a
446.159178	3.00695635	decision	1.300660165	right	B
449.7088506	1.016578837	win	NaN	n/a	n/a
452.5591252	3.006780358	decision	1.549381056	left	B
456.1088773	1.000151842	win	NaN	n/a	n/a
461.059167	3.006662326	decision	1.549464674	right	B
464.608744	1.016806751	win	NaN	n/a	n/a
469.7923646	3.006633648	decision	1.810338046	right	B
473.3420182	0.999993057	loss	NaN	n/a	n/a
480.4591173	3.00686941	decision	1.299523313	left	B
484.0085104	1.000353493	loss	NaN	n/a	n/a
488.9256998	3.006655383	decision	1.549453807	right	B
492.4754386	1.000101127	loss	NaN	n/a	n/a
495.5421606	3.006958765	decision	1.299451166	right	B
499.0920983	1.016702906	win	NaN	n/a	n/a
501.9421546	3.007707106	decision	1.549462863	left	B
505.4923272	1.016093426	win	NaN	n/a	n/a
NaN	NaN		NaN		
0.7107911	3.0062826	decision	2.3180796	right	B
4.2647027	1.0005506	loss	NaN	n/a	n/a
11.3029494	3.007297	decision	2.5675064	right	B
14.8556164	1.000269	win	NaN	n/a	n/a
21.8769131	3.0067788	decision	2.8348314	right	B
25.4296092	1.0004971	loss	NaN	n/a	n/a
NaN	NaN		NaN		
