Trial	Onset	Endowment	Response Time	Duration	L_Option	R_Option	Response
48	--	21	999.0	70.04113	0.3	2.7	999.0
49	451.03888	17	0.9674307	1.4846987	4.25	0	3.0
50	459.05533	19	0.0038243001	0.5170722	4.75	0	3.0
51	--	15	12.115017	12.632074	0.9	2.7	2.0
52	480.2193	15	1.3671265	1.8849113	5.25	0	3.0
53	--	23	9.032568	9.549921	0.5	0.9	2.0
54	494.3013	17	1.3828936	1.8990304	2.55	0	2.0
55	500.73413	19	1.2331499	1.7497098	0.95	0	2.0
56	--	21	9.898951	10.415082	0.1	0.9	2.0
57	--	15	16.498325	17.01461	0.3	0.7	3.0
58	523.78064	25	0.0035239998	0.517794	1.25	0	2.0
59	--	19	9.882805	10.400454	0.1	0.5	2.0
60	538.71326	25	0.9328342	1.4495825	8.75	0	3.0
61	--	21	9.482251	9.999062	0.7	0.9	2.0
62	--	25	15.998382	16.513859	0.2	1.4	2.0
63	563.2604	17	0.0035008993	0.517613	2.55	0	3.0
64	572.30865	15	0.0034926003	0.5176448	0.75	0	2.0
65	--	15	8.200334	8.716858	0.2	1.4	3.0
66	--	15	16.631447	17.148832	0.5	0.9	3.0
67	--	17	23.714046	24.231579	0.5	0.7	3.0
68	--	25	29.713854	30.230387	1.4	1.8	2.0
69	609.07214	23	0.5994462	1.1159327	3.45	0	2.0
70	--	25	11.798412	12.314893	0.3	0.7	2.0
71	625.9195	15	0.6001627	1.1171064	2.25	0	2.0
72	633.06854	15	0.7000431	1.216506	5.25	0	3.0
nTrial	decision_onset	Endowment	rt	trialDuration	L_Option	R_Option	resp
1	6.52692	25	0.4668012	0.9844809	8.75	0	3.0
2	15.543486	17	0.4996277	1.0168242	4.25	0	2.0
3	21.091532	17	0.7002919	1.2176334	5.95	0	3.0
4	--	15	6.366726	6.8831453	0.3	0.5	2.0
5	--	15	13.515854	14.031854	0.5	0.7	2.0
6	--	21	19.264832	19.781687	0.5	0.9	3.0
7	46.9057	25	0.6499136	1.1674778	6.25	0	3.0
8	--	19	6.5828676	7.0993543	0.6	1	2.0
9	--	19	14.1484785	14.66578	0.6	1.4	3.0
10	--	15	24.204792	24.713995	0.6	1.8	2.0
11	--	19	34.25737	34.763786	0.1	0.9	2.0
12	86.201485	25	0.5007347	1.0163502	3.75	0	3.0
13	--	15	11.550087	12.065248	0.3	2.7	3.0
14	--	17	21.263622	21.779596	0.5	0.9	2.0
15	--	23	26.89682	27.413988	0.2	0.6	3.0
16	--	15	36.062485	36.578503	0.3	0.9	3.0
17	128.81288	19	0.6499019	1.1666725	0.95	0	2.0
18	--	23	9.399012	9.916432	0.2	1.4	3.0
19	--	25	16.915041	17.431734	0.3	0.5	3.0
20	--	21	22.280909	22.798489	0.4	2.8	2.0
21	--	25	33.92954	34.44679	0.4	2	3.0
22	--	21	47.3279	47.84497	0.1	0.7	3.0
23	--	23	53.260807	53.7781	0.2	1	3.0
24	--	17	60.810955	61.32606	0.3	2.7	3.0
25	--	15	70.44193	70.95833	0.5	0.7	2.0
26	--	23	79.19117	79.70859	0.7	0.9	3.0
27	213.05276	23	0.7670671	1.2843193	1.15	0	2.0
28	--	19	7.9003773	8.416975	0.3	0.5	2.0
29	--	19	13.949037	14.464932	1.4	1.8	3.0
30	--	15	23.031384	23.54854	1.2	2.8	3.0
31	--	19	35.590473	36.09737	0.1	0.3	3.0
32	--	19	44.361916	44.879784	0.3	0.9	2.0
33	262.46414	17	0.4665816	0.9836342	7.65	0	3.0
34	272.98022	25	0.6997051	1.2159184	6.25	0	2.0
35	284.229	21	0.5824083	1.0986773	9.45	0	3.0
36	--	19	9.414917	9.931683	0.5	0.9	2.0
37	--	21	15.1312	15.647418	1.2	2.8	3.0
38	--	21	28.279415	28.797009	0.5	0.7	2.0
39	--	25	33.845913	34.361416	0.6	1.8	3.0
40	--	23	43.907425	44.428658	0.2	0.6	2.0
41	335.18936	23	0.5335384	1.050021	10.35	0	3.0
42	345.77182	25	0.0036424994	0.5167043	11.25	0	2.0
43	--	15	12.548073	13.065254	0.4	1.2	3.0
44	--	21	25.563236	26.08005	0.5	0.7	2.0
45	--	25	31.11256	31.629898	0.3	1.5	3.0
46	--	21	40.911682	41.428474	2.8	3.6	2.0
47	--	15	54.210392	54.727497	0.3	0.5	3.0
48	--	21	59.992485	60.5105	0.3	2.7	2.0
49	414.8127	17	0.4842191	1.0005946	4.25	0	3.0
50	422.34586	19	0.4166135	0.9337185	4.75	0	3.0
51	--	15	11.733385	12.248214	0.9	2.7	3.0
52	443.1262	15	0.667819	1.1845745	5.25	0	3.0
53	--	23	7.7665057	8.283444	0.5	0.9	2.0
54	455.94196	17	0.5830877	1.100074	2.55	0	3.0
55	461.57507	19	0.5165959	1.0337352	0.95	0	2.0
56	--	21	8.1823225	8.699413	0.1	0.9	3.0
57	--	15	14.01502	14.531503	0.3	0.7	2.0
58	482.13956	25	0.5159521	1.0328053	1.25	0	2.0
59	--	19	9.299212	9.815862	0.1	0.5	3.0
60	496.48767	25	1.0497699	1.5663681	8.75	0	2.0
61	--	21	8.748574	9.266404	0.7	0.9	3.0
62	--	25	14.5150385	15.03226	0.2	1.4	2.0
63	519.5507	17	0.9836084	1.5003408	2.55	0	2.0
64	529.58374	15	0.7998089	1.316877	0.75	0	2.0
65	--	15	8.148867	8.666357	0.2	1.4	3.0
66	--	15	16.264975	16.781706	0.5	0.9	3.0
67	--	17	22.580803	23.097559	0.5	0.7	3.0
68	--	25	28.696419	29.213764	1.4	1.8	2.0
69	565.33057	23	1.0818121	1.5988724	3.45	0	3.0
70	--	25	12.514752	13.030627	0.3	0.7	3.0
71	582.89374	15	0.9348681	1.450537	2.25	0	3.0
72	590.37726	15	1.0989673	1.6159673	5.25	0	2.0
