TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
21,21,1,25,8,0.5,0.4,2,1.0,20.0,170.62122,171.13792,--,3.0,32.485416,171.145,171.65437,32.99516,171.6549,179.65808
22,22,2,21,2,2,0.1,0.7,1.0,21.0,181.67035,183.68706,--,2.0,46.4447,185.10428,185.61993,46.960804,185.62053,187.6235
23,23,2,23,4,0.5,0.2,1,1.0,22.0,189.63629,190.15251,--,2.0,52.99342,191.653,192.16951,53.510307,192.17003,196.17291
24,24,1,17,6,0.5,0.3,2.7,1.0,23.0,198.18515,198.70245,--,2.0,62.508587,201.16817,201.68433,63.02512,201.68484,207.68787
25,25,1,15,2,0.5,0.5,0.7,1.0,24.0,209.70049,210.21727,--,3.0,74.49168,213.15126,213.66696,75.00776,213.6675,215.67055
26,26,2,23,2,3.5,0.7,0.9,1.0,25.0,217.6829,221.19849,--,3.0,83.906555,222.56615,223.08188,84.42267,223.08238,225.0857
27,27,3,23,2,0.5,1.15,0,1.0,26.0,227.09842,227.61569,227.61584,2.0,1.4824252,229.09828,229.61482,1.999414,229.6154,231.61829
28,28,1,19,2,2,0.3,0.5,1.0,27.0,233.63103,235.64714,--,2.0,10.381604,237.99745,238.51334,10.897883,238.51385,240.51755
29,29,2,19,4,0.5,1.4,1.8,1.0,28.0,242.52982,243.04709,--,2.0,17.59765,245.2135,245.73026,18.114792,245.73077,249.73364
30,30,1,15,8,2,1.2,2.8,1.0,29.0,251.74527,253.76245,--,2.0,27.879608,255.49545,256.01166,28.396229,256.0122,264.01572
31,31,2,19,2,2,0.1,0.3,1.0,30.0,266.027,268.0437,--,3.0,42.294834,269.91068,270.42676,42.81129,270.42728,272.43036
32,32,2,19,2,3.5,0.3,0.9,1.0,31.0,274.44305,277.95956,--,2.0,52.46013,280.076,280.59277,52.977436,280.5936,282.59616
33,33,3,17,4,0.5,7.65,0,1.0,32.0,284.60858,285.1256,285.12573,3.0,0.8662354,285.99197,286.50842,1.3830693,286.50894,290.51273
34,34,3,25,6,3.5,6.25,0,1.0,33.0,292.52448,296.04095,296.0411,3.0,0.0035173,296.04462,296.557,0.5162872,296.55753,302.56107
35,35,3,21,2,2,9.45,0,1.0,34.0,304.573,306.5898,306.58997,3.0,0.3994748,306.98944,307.50537,0.915808,307.5059,309.50937
36,36,1,19,2,3.5,0.5,0.9,1.0,35.0,311.52237,315.03876,--,2.0,10.048274,316.6382,317.1545,10.564942,317.15503,319.15805
37,37,2,21,8,0.5,1.2,2.8,1.0,36.0,321.17102,321.68848,--,2.0,16.681026,323.27097,323.78714,17.19762,323.78772,331.79095
38,38,2,21,2,2,0.5,0.7,1.0,37.0,333.80283,335.8193,--,3.0,30.829319,337.41928,337.93506,31.345488,337.9356,339.93893
39,39,1,25,4,0.5,0.6,1.8,1.0,38.0,341.95218,342.46844,--,2.0,36.945766,343.53574,344.052,37.462463,344.05255,348.0563
40,40,1,23,4,3.5,0.2,0.6,1.0,39.0,350.0675,353.58527,--,3.0,48.476925,355.06686,355.58356,48.993988,355.58408,359.58713
41,41,3,23,4,0.5,10.35,0,1.0,40.0,361.59943,362.11658,362.11673,3.0,0.3010421,362.41776,362.9332,0.8168767,362.93372,366.9372
42,42,3,25,6,3.5,11.25,0,1.0,41.0,368.94882,372.46582,372.46597,3.0,0.1993807,372.66534,373.182,0.7164271,373.18253,379.1866
43,43,2,15,8,3.5,0.4,1.2,1.0,42.0,381.19748,384.7143,--,2.0,14.597601,387.06357,387.5798,15.114206,387.58032,395.58325
44,44,2,21,2,2,0.5,0.7,1.0,43.0,397.59534,399.6127,--,2.0,28.746178,401.21216,401.7291,29.263512,401.7296,403.7332
45,45,2,25,6,0.5,0.3,1.5,1.0,44.0,405.74463,406.26065,--,2.0,36.212124,408.6781,409.19403,36.72843,409.19455,415.19803
46,46,2,21,8,0.5,2.8,3.6,1.0,45.0,417.2103,417.72687,--,2.0,46.943913,419.40988,419.9266,47.46104,419.9272,427.93033
47,47,1,15,2,2,0.3,0.5,1.0,46.0,429.94165,431.95883,--,3.0,61.459236,433.9252,434.4418,61.97623,434.44235,436.44537
48,48,1,21,6,0.5,0.3,2.7,1.0,47.0,438.45773,438.9744,--,999.0,999.0,999.0,441.99054,70.04113,442.5073,448.51147
49,49,3,17,4,0.5,4.25,0,1.0,48.0,450.5226,451.03873,451.03888,3.0,0.9674307,452.00632,452.5232,1.4846987,452.5238,456.52722
50,50,3,19,6,0.5,4.75,0,1.0,49.0,458.53854,459.05518,459.05533,3.0,0.0038243001,459.05914,459.572,0.5170722,459.57254,465.57584
51,51,2,15,6,2,0.9,2.7,1.0,50.0,467.58762,469.60428,--,2.0,12.115017,471.17035,471.687,12.632074,471.68753,477.6906
52,52,3,15,2,0.5,5.25,0,1.0,51.0,479.70276,480.21915,480.2193,3.0,1.3671265,481.58643,482.1038,1.8849113,482.10434,484.10806
53,53,2,23,2,2,0.5,0.9,1.0,52.0,486.1184,488.13586,--,2.0,9.032568,489.25186,489.76883,9.549921,489.76935,491.77292
54,54,3,17,2,0.5,2.55,0,1.0,53.0,493.78464,494.30115,494.3013,2.0,1.3828936,495.6842,496.19995,1.8990304,496.20047,498.20346
55,55,3,19,4,0.5,0.95,0,1.0,54.0,500.21735,500.734,500.73413,2.0,1.2331499,501.9673,502.4835,1.7497098,502.48404,506.48727
56,56,2,21,2,0.5,0.1,0.9,1.0,55.0,508.49957,509.01633,--,2.0,9.898951,510.6331,511.14883,10.415082,511.14938,513.1526
57,57,1,15,2,0.5,0.3,0.7,1.0,56.0,515.1654,515.68274,--,3.0,16.498325,517.2325,517.74835,17.01461,517.7489,519.75226
58,58,3,25,2,2,1.25,0,1.0,57.0,521.7648,523.7805,523.78064,2.0,0.0035239998,523.7842,524.29803,0.517794,524.29865,526.3027
59,59,1,19,2,3.5,0.1,0.5,1.0,58.0,528.31415,531.8309,--,2.0,9.882805,533.66345,534.18066,10.400454,534.1813,536.18445
60,60,3,25,4,0.5,8.75,0,1.0,59.0,538.1955,538.7131,538.71326,3.0,0.9328342,539.64606,540.1624,1.4495825,540.1631,544.1661
61,61,1,21,2,0.5,0.7,0.9,1.0,60.0,546.1785,546.69507,--,2.0,9.482251,548.1955,548.71185,9.999062,548.7124,550.71545
62,62,2,25,4,0.5,0.2,1.4,1.0,61.0,552.72705,553.2437,--,2.0,15.998382,554.7116,555.2267,16.513859,555.2273,559.2304
63,63,3,17,6,2,2.55,0,1.0,62.0,561.2435,563.2602,563.2604,3.0,0.0035008993,563.26385,563.7775,0.517613,563.77814,569.78125
64,64,3,15,2,0.5,0.75,0,1.0,63.0,571.7922,572.3085,572.30865,2.0,0.0034926003,572.31213,572.82587,0.5176448,572.8264,574.82947
65,65,1,15,4,2,0.2,1.4,1.0,64.0,576.8417,578.85864,--,3.0,8.200334,580.509,581.0251,8.716858,581.02563,585.0291
66,66,1,15,2,0.5,0.5,0.9,1.0,65.0,587.0404,587.5566,--,3.0,16.631447,588.9401,589.4571,17.148832,589.4577,591.46094
67,67,1,17,2,0.5,0.5,0.7,1.0,66.0,593.47314,593.98975,--,3.0,23.714046,596.0227,596.53986,24.231579,596.54034,598.5436
68,68,2,25,4,0.5,1.4,1.8,1.0,67.0,600.5556,601.0729,--,2.0,29.713854,602.0225,602.53864,30.230387,602.5392,606.5429
69,69,3,23,4,0.5,3.45,0,1.0,68.0,608.5543,609.072,609.07214,2.0,0.5994462,609.67163,610.1877,1.1159327,610.18823,614.1915
70,70,2,25,2,3.5,0.3,0.7,1.0,69.0,616.20355,619.72046,--,2.0,11.798412,620.87054,621.38666,12.314893,621.3872,623.3902
71,71,3,15,2,0.5,2.25,0,1.0,70.0,625.4022,625.9194,625.9195,2.0,0.6001627,626.5197,627.03625,1.1171064,627.03674,629.04016
72,72,3,15,4,2,5.25,0,1.0,71.0,631.0518,633.06836,633.06854,3.0,0.7000431,633.76855,634.2846,1.216506,634.28516,638.2885
﻿TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,25,4,0.5,8.75,0,1.0,0.0,6.0104027,6.526734,6.52692,3.0,0.4668012,6.993721,7.5109015,0.9844809,7.5115633,11.515313
2,2,3,17,2,2,4.25,0,1.0,1.0,13.525988,15.543344,15.543486,2.0,0.4996277,16.043114,16.559896,1.0168242,16.56044,18.563663
3,3,3,17,2,0.5,5.95,0,1.0,2.0,20.575342,21.09139,21.091532,3.0,0.7002919,21.791824,22.308798,1.2176334,22.309336,24.31262
4,4,2,15,2,0.5,0.3,0.5,1.0,3.0,26.324026,26.840855,--,2.0,6.366726,27.458258,27.974272,6.8831453,27.974808,29.97766
5,5,2,15,2,2,0.5,0.7,1.0,4.0,31.990747,34.006775,--,2.0,13.515854,34.607388,35.123013,14.031854,35.123547,37.12699
6,6,1,21,2,0.5,0.5,0.9,1.0,5.0,39.139893,39.65654,--,3.0,19.264832,40.356365,40.872818,19.781687,40.87337,42.87632
7,7,3,25,2,2,6.25,0,1.0,6.0,44.888794,46.905552,46.9057,3.0,0.6499136,47.555614,48.072754,1.1674778,48.073322,50.07678
8,8,2,19,4,0.5,0.6,1,1.0,7.0,52.088215,52.604767,--,2.0,6.5828676,53.488567,54.00466,7.0993543,54.005196,58.008522
9,9,1,19,4,0.5,0.6,1.4,1.0,8.0,60.021168,60.53742,--,3.0,14.1484785,61.054176,61.571106,14.66578,61.57164,65.57558
10,10,2,15,4,3.5,0.6,1.8,1.0,9.0,67.58639,71.10335,--,2.0,24.204792,71.11049,71.61931,24.713995,71.619835,75.623726
11,11,1,19,2,3.5,0.1,0.9,1.0,10.0,77.63532,81.15189,--,2.0,34.25737,81.16307,81.66912,34.763786,81.66963,83.67282
12,12,3,25,6,0.5,3.75,0,1.0,11.0,85.684425,86.20133,86.201485,3.0,0.5007347,86.70222,87.21742,1.0163502,87.217964,93.22117
13,13,1,15,6,2,0.3,2.7,1.0,12.0,95.23291,97.25002,--,3.0,11.550087,97.75157,98.266335,12.065248,98.26686,104.269875
14,14,1,17,2,0.5,0.5,0.9,1.0,13.0,106.281944,106.79894,--,2.0,21.263622,107.4651,107.98069,21.779596,107.98122,109.98448
15,15,2,23,4,0.5,0.2,0.6,1.0,14.0,111.99824,112.51455,--,3.0,26.89682,113.098305,113.61508,27.413988,113.61561,117.61921
16,16,2,15,2,2,0.3,0.9,1.0,15.0,119.63038,121.64689,--,3.0,36.062485,122.26397,122.77962,36.578503,122.78011,124.78372
17,17,3,19,2,2,0.95,0,1.0,16.0,126.79661,128.81273,128.81288,2.0,0.6499019,129.46278,129.97916,1.1666725,129.97969,131.98297
18,18,1,23,4,3.5,0.2,1.4,1.0,17.0,133.99559,137.51218,--,3.0,9.399012,138.2119,138.7289,9.916432,138.72946,142.73256
19,19,1,25,2,0.5,0.3,0.5,1.0,18.0,144.74422,145.26166,--,3.0,16.915041,145.72792,146.24425,17.431734,146.24478,148.24864
20,20,1,21,8,0.5,0.4,2.8,1.0,19.0,150.26013,150.77638,--,2.0,22.280909,151.0938,151.61087,22.798489,151.61151,159.61505
21,21,1,25,8,0.5,0.4,2,1.0,20.0,161.62564,162.14236,--,3.0,33.92954,162.74242,163.25928,34.44679,163.2598,171.26317
22,22,2,21,2,2,0.1,0.7,1.0,21.0,173.27448,175.29166,--,3.0,47.3279,176.14078,176.65747,47.84497,176.65799,178.66098
23,23,2,23,4,0.5,0.2,1,1.0,22.0,180.67377,181.19041,--,3.0,53.260807,182.07368,182.59058,53.7781,182.59113,186.59454
24,24,1,17,6,0.5,0.3,2.7,1.0,23.0,188.60536,189.12146,--,3.0,60.810955,189.62384,190.13858,61.32606,190.13907,196.14195
25,25,1,15,2,0.5,0.5,0.7,1.0,24.0,198.15509,198.67172,--,2.0,70.44193,199.2548,199.77084,70.95833,199.77138,201.7753
26,26,2,23,2,3.5,0.7,0.9,1.0,25.0,203.78723,207.30392,--,3.0,79.19117,208.00404,208.52104,79.70859,208.5216,210.52475
27,27,3,23,2,0.5,1.15,0,1.0,26.0,212.53665,213.05261,213.05276,2.0,0.7670671,213.81984,214.33672,1.2843193,214.33722,216.34004
28,28,1,19,2,2,0.3,0.5,1.0,27.0,218.3526,220.36957,--,2.0,7.9003773,220.95314,221.46933,8.416975,221.46988,223.47331
29,29,2,19,4,0.5,1.4,1.8,1.0,28.0,225.48462,226.00146,--,3.0,13.949037,227.0018,227.51733,14.464932,227.51787,231.52184
30,30,1,15,8,2,1.2,2.8,1.0,29.0,233.53401,235.5517,--,3.0,23.031384,236.08415,236.60094,23.54854,236.60144,244.6046
31,31,2,19,2,2,0.1,0.3,1.0,30.0,246.61574,248.63252,--,3.0,35.590473,248.64323,249.14977,36.09737,249.15027,251.15332
32,32,2,19,2,3.5,0.3,0.9,1.0,31.0,253.16525,256.68167,--,2.0,44.361916,257.41467,257.93216,44.879784,257.93268,259.9362
33,33,3,17,4,0.5,7.65,0,1.0,32.0,261.94763,262.46402,262.46414,3.0,0.4665816,262.93073,263.44736,0.9836342,263.44794,267.45175
34,34,3,25,6,3.5,6.25,0,1.0,33.0,269.46317,272.98007,272.98022,2.0,0.6997051,273.67993,274.19574,1.2159184,274.19626,280.20007
35,35,3,21,2,2,9.45,0,1.0,34.0,282.21167,284.22885,284.229,3.0,0.5824083,284.81143,285.32727,1.0986773,285.32782,287.33075
36,36,1,19,2,3.5,0.5,0.9,1.0,35.0,289.34412,292.8609,--,2.0,9.414917,293.64392,294.16028,9.931683,294.16083,296.16412
37,37,2,21,8,0.5,1.2,2.8,1.0,36.0,298.17642,298.69382,--,3.0,15.1312,299.3602,299.87604,15.647418,299.87656,307.87985
38,38,2,21,2,2,0.5,0.7,1.0,37.0,309.89178,311.9094,--,2.0,28.279415,312.50842,313.02563,28.797009,313.02615,315.02957
39,39,1,25,4,0.5,0.6,1.8,1.0,38.0,317.04135,317.55795,--,3.0,33.845913,318.07492,318.59006,34.361416,318.59064,322.59445
40,40,1,23,4,3.5,0.2,0.6,1.0,39.0,324.60687,328.12387,--,2.0,43.907425,328.13644,328.65726,44.428658,328.6578,332.66077
41,41,3,23,4,0.5,10.35,0,1.0,40.0,334.67258,335.1892,335.18936,3.0,0.5335384,335.7229,336.23898,1.050021,336.23953,340.2432
42,42,3,25,6,3.5,11.25,0,1.0,41.0,342.2547,345.77167,345.77182,2.0,0.0036424994,345.77545,346.28815,0.5167043,346.28864,352.29218
43,43,2,15,8,3.5,0.4,1.2,1.0,42.0,354.3031,357.81998,--,3.0,12.548073,358.3199,358.83667,13.065254,358.8372,366.84122
44,44,2,21,2,2,0.5,0.7,1.0,43.0,368.852,370.86862,--,2.0,25.563236,371.33505,371.8515,26.08005,371.85202,373.8551
45,45,2,25,6,0.5,0.3,1.5,1.0,44.0,375.8679,376.38458,--,3.0,31.11256,376.88437,377.4013,31.629898,377.40182,383.40515
46,46,2,21,8,0.5,2.8,3.6,1.0,45.0,385.41614,385.9335,--,2.0,40.911682,386.6835,387.19992,41.428474,387.20053,395.20352
47,47,1,15,2,2,0.3,0.5,1.0,46.0,397.2151,399.23285,--,3.0,54.210392,399.9822,400.49893,54.727497,400.49945,402.50256
48,48,1,21,6,0.5,0.3,2.7,1.0,47.0,404.51486,405.03067,--,2.0,59.992485,405.76428,406.28192,60.5105,406.28244,412.28516
49,49,3,17,4,0.5,4.25,0,1.0,48.0,414.2961,414.8126,414.8127,3.0,0.4842191,415.29694,415.81293,1.0005946,415.81345,419.8159
50,50,3,19,6,0.5,4.75,0,1.0,49.0,421.82935,422.34573,422.34586,3.0,0.4166135,422.76248,423.2792,0.9337185,423.27975,429.28284
51,51,2,15,6,2,0.9,2.7,1.0,50.0,431.2947,433.31137,--,3.0,11.733385,434.07925,434.5937,12.248214,434.59424,440.59793
52,52,3,15,2,0.5,5.25,0,1.0,51.0,442.60992,443.12604,443.1262,3.0,0.667819,443.794,444.31036,1.1845745,444.31088,446.31393
53,53,2,23,2,2,0.5,0.9,1.0,52.0,448.32562,450.34305,--,2.0,7.7665057,450.8927,451.40924,8.283444,451.40982,453.41275
54,54,3,17,2,0.5,2.55,0,1.0,53.0,455.42514,455.9418,455.94196,3.0,0.5830877,456.52502,457.04163,1.100074,457.04214,459.04596
55,55,3,19,4,0.5,0.95,0,1.0,54.0,461.0577,461.57492,461.57507,2.0,0.5165959,462.09167,462.60843,1.0337352,462.60895,466.61227
56,56,2,21,2,0.5,0.1,0.9,1.0,55.0,468.62357,469.1402,--,3.0,8.1823225,469.75742,470.2741,8.699413,470.27463,472.2778
57,57,1,15,2,0.5,0.3,0.7,1.0,56.0,474.28973,474.8059,--,2.0,14.01502,475.59012,476.1062,14.531503,476.10672,478.1102
58,58,3,25,2,2,1.25,0,1.0,57.0,480.12265,482.1394,482.13956,2.0,0.5159521,482.65552,483.172,1.0328053,483.17252,485.17557
59,59,1,19,2,3.5,0.1,0.5,1.0,58.0,487.1883,490.70523,--,3.0,9.299212,491.43878,491.95502,9.815862,491.95557,493.95862
60,60,3,25,4,0.5,8.75,0,1.0,59.0,495.97055,496.48752,496.48767,2.0,1.0497699,497.53745,498.05362,1.5663681,498.05417,502.0574
61,61,1,21,2,0.5,0.7,0.9,1.0,60.0,504.06952,504.58627,--,3.0,8.748574,505.23624,505.75366,9.266404,505.7542,507.75742
62,62,2,25,4,0.5,0.2,1.4,1.0,61.0,509.76913,510.28558,--,2.0,14.5150385,511.00272,511.51956,15.03226,511.52008,515.52374
63,63,3,17,6,2,2.55,0,1.0,62.0,517.53455,519.5506,519.5507,2.0,0.9836084,520.5343,521.05066,1.5003408,521.0512,527.0542
64,64,3,15,2,0.5,0.75,0,1.0,63.0,529.06696,529.58356,529.58374,2.0,0.7998089,530.38354,530.9002,1.316877,530.9007,532.9046
65,65,1,15,4,2,0.2,1.4,1.0,64.0,534.91614,536.9328,--,3.0,8.148867,537.7326,538.2497,8.666357,538.25024,542.2533
66,66,1,15,2,0.5,0.5,0.9,1.0,65.0,544.2652,544.78235,--,3.0,16.264975,545.8487,546.365,16.781706,546.36554,548.36884
67,67,1,17,2,0.5,0.5,0.7,1.0,66.0,550.3806,550.897,--,3.0,22.580803,552.1645,552.6809,23.097559,552.68146,554.68506
68,68,2,25,4,0.5,1.4,1.8,1.0,67.0,556.6971,557.2139,--,2.0,28.696419,558.28015,558.7971,29.213764,558.7976,562.80066
69,69,3,23,4,0.5,3.45,0,1.0,68.0,564.81256,565.33044,565.33057,3.0,1.0818121,566.41235,566.9291,1.5988724,566.9296,570.9328
70,70,2,25,2,3.5,0.3,0.7,1.0,69.0,572.9451,576.46173,--,3.0,12.514752,577.84534,578.3608,13.030627,578.3613,580.36444
71,71,3,15,2,0.5,2.25,0,1.0,70.0,582.37744,582.8936,582.89374,3.0,0.9348681,583.8286,584.34393,1.450537,584.3444,586.34753
72,72,3,15,4,2,5.25,0,1.0,71.0,588.3597,590.3771,590.37726,2.0,1.0989673,591.4762,591.9928,1.6159673,591.99335,595.99713
