C:\Users\tuj55142\Documents\GitHub\istart\Mock_Scan\Social\USE THIS COPY\EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1.edat2
ExperimentName	Subject	Session	AmtWon	Clock.Information	DataFile.Basename	Display.RefreshRate	EasyFinger	EasyKey	ExperimentVersion	Group	HardFinger	HardKey	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Amount	Choice	Completed	Decision.RT	Probability	Procedure	Running	TapSpeed	Trials	Trials.Cycle	Trials.Sample	Winnings
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	11	6.87	1	1	1647	50	Lose	Trials	0.18982	11	1	11	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	12	4.05	0	1	1660	50	Win	Trials	0.1539	12	1	12	1.75
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	13	3.73	0	1	1558	12	Lose	Trials	0.16	13	1	13	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	14	2.48	1	1	2564	88	Win	Trials	0.20048	14	1	14	2.48
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	15	5.30	1	1	1803	88	Lose	Trials	0.18965	15	1	15	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	16	2.16	0	1	1547	12	Lose	Trials	0.1583333	16	1	16	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	17	6.24	1	1	1940	88	Win	Trials	0.19198	17	1	17	6.24
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	18	4.05	0	1	2494	12	Lose	Trials	0.1666667	18	1	18	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	19	7.19	1	1	1848	50	Win	Trials	0.19865	19	1	19	7.19
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	20	7.19	0	1	2306	12	Lose	Trials	0.1683667	20	1	20	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	21	4.36	0	1	1857	50	Win	Trials	0.1677667	21	1	21	1.75
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	22	6.87	0	1	2843	12	Lose	Trials	0.1589	22	1	22	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	23	5.62	0	1	2439	12	Lose	Trials	0.1866667	23	1	23	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	24	7.19	1	1	1683	88	Win	Trials	0.19365	24	1	24	7.19
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	25	4.67	1	1	2152	88	Win	Trials	0.19564	25	1	25	4.67
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	26	5.93	0	1	3515	50	Lose	Trials	0.1633667	26	1	26	0
EEfRTTextCuesV2_Win1_v2_815_Social_052521	3176	1	17.56	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">3497324641796</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-09-21T19:54:27Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815_Social_052521-3176-1	60.010	Right Index Finger	9	1.0.0.84	1	Left Pinky Finger	7	1222038766	Professional	2.0.10.356	2.0.10.356	09-21-2021	9/21/2021 7:54:27 PM	15:54:27	2.0.10.252	27	4.36	1	1	2279	88	Win	Trials	0.18981	27	1	27	4.36
