C:\Users\tuj55142\Documents\GitHub\istart\Mock_Scan\Monetary\EEfRTTextCuesV2_Win1_v2_815-1240-1.edat2
ExperimentName	Subject	Session	AmtWon	Clock.Information	DataFile.Basename	Display.ColorDepth	Display.FlippingEnabled	Display.RefreshRate	EasyKey	ExperimentVersion	Group	HardKey	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	Amount	Choice	Completed	Decision.RT	Practice	Practice.Cycle	Practice.Sample	Probability	Procedure	Running	TapSpeed	Trials	Trials.Cycle	Trials.Sample	Winnings
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	11	2.68	1	0	1276				50	Lose	Trials	0.2592222	7	1	7	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	12	1.78	0	1	930				88	Win	Trials	0.1655667	8	1	8	1
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	13	2.14	0	1	1290				50	Win	Trials	0.1661333	9	1	9	1
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	14	2.50	0	1	916				12	Win	Trials	0.1722333	10	1	10	1
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	15	3.94	0	1	1150				50	Lose	Trials	0.18	11	1	11	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	16	2.32	1	0	677				50	Win	Trials	0.2359213	12	1	12	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	17	2.14	0	1	498				12	Lose	Trials	0.1650333	13	1	13	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	18	1.42	0	1	732				88	Win	Trials	0.1761333	14	1	14	1
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	19	3.04	1	0	680				88	Lose	Trials	0.2333	15	1	15	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	20	1.24	0	1	446				12	Lose	Trials	0.1644667	16	1	16	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	21	3.58	1	0	1019				88	Win	Trials	0.2282283	17	1	17	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	22	2.32	0	1	1411				12	Lose	Trials	0.175	18	1	18	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	23	4.12	0	1	1525				50	Win	Trials	0.1978	19	1	19	1
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	24	4.12	0	1	1567				12	Lose	Trials	0.1789	20	1	20	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	25	2.50	0	1	1767				50	Win	Trials	0.1866667	21	1	21	1
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	26	3.94	2	0	6517				12	Lose	Trials	0.2470353	22	1	22	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	27	3.22	0	1	1261				12	Lose	Trials	0.1872333	23	1	23	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	28	4.12	1	0	1168				88	Win	Trials	0.2233723	24	1	24	0
EEfRTTextCuesV2_Win1_v2_815	1240	1	4	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23323433929690</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2021-06-08T18:44:14Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	EEfRTTextCuesV2_Win1_v2_815-1240-1	32	Yes	60.011	9	1.0.0.30	1	7	1762246225	Professional	2.0.10.356	2.0.10.356	06-08-2021	6/8/2021 6:44:14 PM	14:44:14	2.0.10.252	29	2.68	1	0	1257				88	Win	Trials	0.2333111	25	1	25	0
