onset	duration	trial_type	response_time	Endowment	Endowment_pmod	Decision
43.194366	1.768620	dec_ug-prop_pmod_more	1.768620	19	n/a	10
43.194366	1.768620	dec_ug-prop_pmod_choice	1.768620	19	n/a	10
52.751100	1.119384	dec_dg-prop_pmod_less	1.119384	23	n/a	22
52.751100	1.119384	dec_dg-prop_pmod_choice	1.119384	23	n/a	22
69.297550	0.636230	dec_ug-resp_pmod_accept	0.636230	17	n/a	9
69.297550	0.636230	dec_ug-resp_pmod_choice	0.636230	17	n/a	9
85.843740	0.954526	dec_dg-prop_pmod_less	0.954526	19	n/a	15
85.843740	0.954526	dec_dg-prop_pmod_choice	0.954526	19	n/a	15
93.884390	2.454707	dec_dg-prop_pmod_less	2.454707	19	n/a	18
93.884390	2.454707	dec_dg-prop_pmod_choice	2.454707	19	n/a	18
105.928360	1.169184	dec_dg-prop_pmod_less	1.169184	19	n/a	18
105.928360	1.169184	dec_dg-prop_pmod_choice	1.169184	19	n/a	18
113.967870	1.369533	dec_ug-resp_pmod_accept	1.369533	17	n/a	14
113.967870	1.369533	dec_ug-resp_pmod_choice	1.369533	17	n/a	14
125.008420	1.188231	dec_ug-prop_pmod_less	1.188231	17	n/a	16
125.008420	1.188231	dec_ug-prop_pmod_choice	1.188231	17	n/a	16
138.052150	1.072509	dec_dg-prop_pmod_more	1.072509	15	n/a	8
138.052150	1.072509	dec_dg-prop_pmod_choice	1.072509	15	n/a	8
146.094730	1.769751	dec_ug-resp_pmod_accept	1.769751	21	n/a	12
146.094730	1.769751	dec_ug-resp_pmod_choice	1.769751	21	n/a	12
156.136050	1.135929	dec_ug-prop_pmod_more	1.135929	15	n/a	10
156.136050	1.135929	dec_ug-prop_pmod_choice	1.135929	15	n/a	10
171.179690	1.555309	dec_ug-resp_pmod_accept	1.555309	21	n/a	20
171.179690	1.555309	dec_ug-resp_pmod_choice	1.555309	21	n/a	20
179.221570	2.937643	dec_dg-prop_pmod_more	2.937643	15	n/a	12
179.221570	2.937643	dec_dg-prop_pmod_choice	2.937643	15	n/a	12
189.263800	1.786241	dec_dg-prop_pmod_less	1.786241	15	n/a	10
189.263800	1.786241	dec_dg-prop_pmod_choice	1.786241	15	n/a	10
202.806060	4.000000	missed_trial	n/a	19	n/a	n/a
213.864940	0.954227	dec_ug-resp_pmod_reject	0.954227	25	n/a	0
213.864940	0.954227	dec_ug-resp_pmod_choice	0.954227	25	n/a	0
221.907380	1.002109	dec_ug-prop_pmod_more	1.002109	19	n/a	13
221.907380	1.002109	dec_ug-prop_pmod_choice	1.002109	19	n/a	13
229.946380	1.853529	dec_ug-resp_pmod_accept	1.853529	21	n/a	17
229.946380	1.853529	dec_ug-resp_pmod_choice	1.853529	21	n/a	17
241.487690	1.738174	dec_ug-prop_pmod_more	1.738174	23	n/a	13
241.487690	1.738174	dec_ug-prop_pmod_choice	1.738174	23	n/a	13
249.529660	2.636714	dec_ug-resp_pmod_accept	2.636714	23	n/a	19
249.529660	2.636714	dec_ug-resp_pmod_choice	2.636714	23	n/a	19
260.569370	1.822571	dec_ug-prop_pmod_more	1.822571	21	n/a	12
260.569370	1.822571	dec_ug-prop_pmod_choice	1.822571	21	n/a	12
268.612670	2.702969	dec_dg-prop_pmod_more	2.702969	17	n/a	9
268.612670	2.702969	dec_dg-prop_pmod_choice	2.702969	17	n/a	9
280.655640	1.652661	dec_ug-prop_pmod_more	1.652661	19	n/a	10
280.655640	1.652661	dec_ug-prop_pmod_choice	1.652661	19	n/a	10
288.695340	1.536439	dec_ug-prop_pmod_less	1.536439	19	n/a	15
288.695340	1.536439	dec_ug-prop_pmod_choice	1.536439	19	n/a	15
300.237300	2.337476	dec_dg-prop_pmod_less	2.337476	21	n/a	20
300.237300	2.337476	dec_dg-prop_pmod_choice	2.337476	21	n/a	20
310.280030	2.119168	dec_ug-resp_pmod_accept	2.119168	17	n/a	12
310.280030	2.119168	dec_ug-resp_pmod_choice	2.119168	17	n/a	12
323.321300	2.522244	dec_ug-resp_pmod_accept	2.522244	15	n/a	8
323.321300	2.522244	dec_ug-resp_pmod_choice	2.522244	15	n/a	8
333.365700	1.085278	dec_ug-prop_pmod_more	1.085278	15	n/a	10
333.365700	1.085278	dec_ug-prop_pmod_choice	1.085278	15	n/a	10
342.905000	1.003829	dec_ug-prop_pmod_more	1.003829	23	n/a	13
342.905000	1.003829	dec_ug-prop_pmod_choice	1.003829	23	n/a	13
350.945950	2.070459	dec_dg-prop_pmod_less	2.070459	17	n/a	14
350.945950	2.070459	dec_dg-prop_pmod_choice	2.070459	17	n/a	14
367.492300	0.902963	dec_ug-prop_pmod_less	0.902963	19	n/a	18
367.492300	0.902963	dec_ug-prop_pmod_choice	0.902963	19	n/a	18
381.036250	2.421474	dec_ug-resp_pmod_accept	2.421474	21	n/a	14
381.036250	2.421474	dec_ug-resp_pmod_choice	2.421474	21	n/a	14
