TrialNumber,Trial,ISI,ITI,winlose,face_image_L,face_image_R,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
27,27,2,2,loss,M18.jpg,M120.jpg,1.0,26.0,382.6259,999.0,999.0,999.0,385.72232,3.0968854,385.72305,2.0,387.73953,390.75772,390.7579,392.7761,2019-11-05 17:13:38.956914
28,28,4,6,loss,F34.jpg,F76.jpg,1.0,27.0,392.84018,999.0,999.0,999.0,395.94644,3.1065183,395.94687,2.0,397.96332,400.98157,400.98172,406.9999,2019-11-05 17:13:53.180526
29,29,2,7,loss,M22.jpg,M40.jpg,1.0,28.0,407.0576,999.0,999.0,999.0,410.15622,3.0989091,410.15668,2.0,412.17352,415.1909,415.19104,422.21027,2019-11-05 17:14:08.390665
30,30,6,2,win,F52.jpg,F90.jpg,1.0,29.0,422.28024,999.0,999.0,999.0,425.3842,3.1042132,425.3846,2.0,427.4013,430.43683,430.43716,432.4543,2019-11-05 17:14:18.634548
31,31,4,2,loss,F22.jpg,F116.jpg,1.0,30.0,432.5278,999.0,999.0,999.0,435.62436,3.0968394,435.6248,2.0,437.64145,440.65973,440.65988,442.67795,2019-11-05 17:14:28.858033
32,32,2,4,win,M32.jpg,M96.jpg,1.0,31.0,442.7325,999.0,999.0,999.0,445.8317,3.0994673,445.83215,2.0,447.84872,450.88492,450.88528,454.90088,2019-11-05 17:14:41.080930
33,33,6,2,win,F58.jpg,F16.jpg,1.0,32.0,454.97153,999.0,999.0,999.0,458.07275,3.1015255,458.0732,2.0,460.09067,463.12698,463.12735,465.14432,2019-11-05 17:14:51.324095
34,34,6,2,win,F26.jpg,F102.jpg,1.0,33.0,465.20297,999.0,999.0,999.0,468.29807,3.0953803,468.29852,2.0,470.31506,473.35016,473.35052,475.36835,2019-11-05 17:15:01.547989
35,35,4,8,win,M46.jpg,M58.jpg,1.0,34.0,475.4126,999.0,999.0,999.0,478.5049,3.0926032,478.50537,2.0,480.52216,483.55826,483.55862,491.57556,2019-11-05 17:15:17.754958
36,36,2,2,win,F82.jpg,F104.jpg,1.0,35.0,491.6509,999.0,999.0,999.0,494.7501,3.099434,494.75052,2.0,496.76688,499.80258,499.80292,501.82013,2019-11-05 17:15:27.999398
37,37,4,6,win,M92.jpg,M88.jpg,1.0,36.0,501.88583,3.0,0.53544056,502.42126,504.9036,3.0180397,504.90402,2.0,506.92352,509.9597,509.96005,515.97784,2019-11-05 17:15:42.156908
38,38,4,6,loss,F84.jpg,F40.jpg,1.0,37.0,516.0555,999.0,999.0,999.0,519.15076,3.0955412,519.1512,2.0,521.16754,524.18585,524.18616,530.20416,2019-11-05 17:15:56.382993
39,39,2,2,win,M76.jpg,M86.jpg,1.0,38.0,530.26855,999.0,999.0,999.0,533.3608,3.0925014,533.3612,2.0,535.3778,538.41327,538.41364,540.4314,2019-11-05 17:16:06.610123
40,40,2,2,loss,M82.jpg,M14.jpg,1.0,39.0,540.49866,999.0,999.0,999.0,543.6016,3.1032689,543.6021,2.0,545.61847,548.636,548.63617,550.6554,2019-11-05 17:16:16.833987
41,41,2,2,win,F74.jpg,F78.jpg,1.0,40.0,550.7158,999.0,999.0,999.0,553.809,3.0935605,553.8096,2.0,555.826,558.8611,558.86145,560.8792,2019-11-05 17:16:27.057615
42,42,2,2,win,M30.jpg,M06.jpg,1.0,41.0,560.94464,999.0,999.0,999.0,564.04974,3.1053715,564.0502,2.0,566.0667,569.10187,569.10223,571.1199,2019-11-05 17:16:37.298155
43,43,4,4,loss,F02.jpg,F94.jpg,1.0,42.0,571.1843,999.0,999.0,999.0,574.29034,3.106287,574.2908,2.0,576.30725,579.3247,579.3249,583.3433,2019-11-05 17:16:49.521413
44,44,2,2,win,F66.jpg,F70.jpg,1.0,43.0,583.41284,999.0,999.0,999.0,586.5155,3.1029503,586.5159,2.0,588.5324,591.5676,591.56793,593.5844,2019-11-05 17:16:59.762377
45,45,2,4,loss,F04.jpg,F64.jpg,1.0,44.0,593.6476,999.0,999.0,999.0,596.7393,3.0920177,596.73975,2.0,598.7564,601.77374,601.77386,605.7932,2019-11-05 17:17:11.970977
46,46,8,2,loss,M52.jpg,M24.jpg,1.0,45.0,605.84924,999.0,999.0,999.0,608.94836,3.0994248,608.9488,2.0,610.9652,613.98254,613.98267,616.00195,2019-11-05 17:17:22.179568
47,47,2,2,loss,F14.jpg,F62.jpg,1.0,46.0,616.0765,999.0,999.0,999.0,619.1721,3.0960798,619.17285,2.0,621.18835,624.2067,624.2069,626.22516,2019-11-05 17:17:32.402629
48,48,2,4,loss,M104.jpg,M16.jpg,1.0,47.0,626.27985,999.0,999.0,999.0,629.37897,3.0994203,629.37946,2.0,631.3965,634.4135,634.41364,638.4328,2019-11-05 17:17:44.610076
49,49,6,4,win,M36.jpg,M44.jpg,1.0,48.0,638.48035,999.0,999.0,999.0,641.5707,3.0906172,641.5711,2.0,643.58734,646.623,646.6233,650.6413,2019-11-05 17:17:56.818418
50,50,4,2,loss,F10.jpg,F108.jpg,1.0,49.0,650.7006,999.0,999.0,999.0,653.79596,3.0955932,653.7964,2.0,655.81384,658.8311,658.83124,660.85046,2019-11-05 17:18:07.027482
51,51,2,4,loss,M118.jpg,M48.jpg,1.0,50.0,660.8965,999.0,999.0,999.0,663.9875,3.0913107,663.9879,2.0,666.00433,669.02155,669.0217,673.041,2019-11-05 17:18:19.217820
52,52,8,2,win,F72.jpg,F80.jpg,1.0,51.0,673.10815,999.0,999.0,999.0,676.2118,3.1040363,676.2125,2.0,678.229,681.2642,681.2646,683.2816,2019-11-05 17:18:29.458291
53,53,2,4,win,M74.jpg,M90.jpg,1.0,52.0,683.3395,999.0,999.0,999.0,686.4363,3.097122,686.4367,2.0,688.4527,691.48895,691.4893,695.5062,2019-11-05 17:18:41.682742
54,54,6,4,win,M42.jpg,M108.jpg,1.0,53.0,695.56775,999.0,999.0,999.0,698.66125,3.093776,698.6617,2.0,700.6782,703.71423,703.71454,707.73236,2019-11-05 17:18:53.908681
55,55,2,2,win,M28.jpg,M02.jpg,1.0,54.0,707.8006,999.0,999.0,999.0,710.90314,3.102766,710.90356,2.0,712.92004,715.95605,715.9563,717.97406,2019-11-05 17:19:04.150227
56,56,2,4,loss,F28.jpg,F100.jpg,1.0,55.0,718.0385,999.0,999.0,999.0,721.1442,3.1060057,721.14465,2.0,723.1611,726.1793,726.1795,730.1971,2019-11-05 17:19:16.373063
57,57,4,6,loss,F36.jpg,F46.jpg,1.0,56.0,730.2788,999.0,999.0,999.0,733.3868,3.1082144,733.3872,2.0,735.40283,738.421,738.4212,744.4393,2019-11-05 17:19:30.615043
58,58,4,2,loss,M106.jpg,M54.jpg,1.0,57.0,744.48846,999.0,999.0,999.0,747.57916,3.0909908,747.57965,2.0,749.5963,752.6145,752.6146,754.63257,2019-11-05 17:19:40.808254
59,59,2,4,win,F30.jpg,F50.jpg,1.0,58.0,754.6983,999.0,999.0,999.0,757.8037,3.1057253,757.8042,2.0,759.82074,762.85626,762.8566,766.87366,2019-11-05 17:19:53.049132
60,60,2,6,win,F110.jpg,F88.jpg,1.0,59.0,766.93555,999.0,999.0,999.0,770.02856,3.093318,770.029,2.0,772.0454,775.0816,775.082,781.09894,2019-11-05 17:20:07.274238
