TrialNumber,Trial,ISI,ITI,winlose,face_image_L,face_image_R,ran,order,decision_onset,resp,rt,resp_onset,resp_offset,trialDuration,pre_feedback_fix_onset,pre_feedback_fix_duration,arrow_onset,arrow_offset,ITIonset,ITIoffset,Date_Time
25,25,2,2,win,F35.jpg,F83.jpg,1.0,24.0,283.0652,999.0,999.0,999.0,286.1581,3.0931923,286.15854,2.0,288.17508,291.21014,291.2105,293.22842,2019-11-05 16:57:10.988823
26,26,4,8,loss,M63.jpg,M115.jpg,1.0,25.0,293.26743,999.0,999.0,999.0,296.36478,3.0976489,296.36523,2.0,298.38168,301.39993,301.40012,309.4192,2019-11-05 16:57:27.179265
27,27,6,2,win,M73.jpg,M81.jpg,1.0,26.0,309.46655,999.0,999.0,999.0,312.55902,3.092749,312.55948,2.0,314.57593,317.612,317.61237,319.62912,2019-11-05 16:57:37.389083
28,28,6,2,loss,F09.jpg,F105.jpg,1.0,27.0,319.68423,999.0,999.0,999.0,322.78357,3.0996046,322.78403,2.0,324.79962,327.81802,327.8182,329.83755,2019-11-05 16:57:47.597415
29,29,2,4,win,F117.jpg,F37.jpg,1.0,28.0,329.90167,999.0,999.0,999.0,333.00708,3.1056886,333.00754,2.0,335.0242,338.06036,338.06073,342.07687,2019-11-05 16:57:59.836591
30,30,4,2,loss,F19.jpg,F77.jpg,1.0,29.0,342.1421,999.0,999.0,999.0,345.25177,3.1099458,345.2522,2.0,347.2689,350.28625,350.2866,352.3049,2019-11-05 16:58:10.064570
31,31,6,2,loss,M45.jpg,M105.jpg,1.0,30.0,352.3415,999.0,999.0,999.0,355.44202,3.1007943,355.44244,2.0,357.4589,360.47638,360.47653,362.49585,2019-11-05 16:58:20.255379
32,32,2,7,loss,M01.jpg,M119.jpg,1.0,31.0,362.54306,999.0,999.0,999.0,365.6488,3.1060283,365.64926,2.0,367.66678,370.68408,370.68427,377.70273,2019-11-05 16:58:35.462070
33,33,4,6,win,M53.jpg,M75.jpg,1.0,32.0,377.74792,999.0,999.0,999.0,380.84308,3.0954454,380.84354,2.0,382.86,385.8955,385.89584,391.91306,2019-11-05 16:58:49.672253
34,34,2,2,loss,F21.jpg,F97.jpg,1.0,33.0,391.9721,999.0,999.0,999.0,395.0699,3.0980718,395.07034,2.0,397.08694,400.10526,400.10544,402.12415,2019-11-05 16:58:59.883251
35,35,6,2,loss,F65.jpg,F23.jpg,1.0,34.0,402.187,999.0,999.0,999.0,405.2945,3.1077485,405.29492,2.0,407.31146,410.32797,410.32812,412.34744,2019-11-05 16:59:10.106446
36,36,4,8,win,F93.jpg,F03.jpg,1.0,35.0,412.40018,999.0,999.0,999.0,415.50168,3.1020825,415.50256,2.0,417.5181,420.5527,420.5531,428.57193,2019-11-05 16:59:26.330755
37,37,3,8,loss,M103.jpg,M55.jpg,1.0,36.0,428.6081,999.0,999.0,999.0,431.7129,3.1050818,431.71332,2.0,433.72974,436.74597,436.74615,444.76517,2019-11-05 16:59:42.523812
38,38,6,7,win,F49.jpg,F113.jpg,1.0,37.0,444.82727,999.0,999.0,999.0,447.92346,3.0964694,447.92392,2.0,449.93988,452.9761,452.97644,459.99268,2019-11-05 16:59:57.751161
39,39,2,8,loss,F91.jpg,F99.jpg,1.0,38.0,460.05603,999.0,999.0,999.0,463.1498,3.0940666,463.15027,2.0,465.16898,468.18634,468.18652,476.20584,2019-11-05 17:00:13.964159
40,40,2,6,loss,M107.jpg,M11.jpg,1.0,39.0,476.25284,999.0,999.0,999.0,479.34528,3.0927606,479.34576,2.0,481.36325,484.38156,484.3817,490.39993,2019-11-05 17:00:28.158094
41,41,2,6,loss,M93.jpg,M47.jpg,1.0,40.0,490.4472,999.0,999.0,999.0,493.5567,3.1097581,493.55713,2.0,495.57376,498.59207,498.59222,504.61063,2019-11-05 17:00:42.368679
42,42,4,8,loss,F51.jpg,F01.jpg,1.0,41.0,504.6665,999.0,999.0,999.0,507.76355,3.0973318,507.764,2.0,509.78265,512.80194,512.80206,520.81946,2019-11-05 17:00:58.577318
43,43,3,8,win,F69.jpg,F85.jpg,1.0,42.0,520.8804,999.0,999.0,999.0,523.9788,3.0987206,523.97925,2.0,525.99493,529.0302,529.0306,537.0478,2019-11-05 17:01:14.805441
44,44,6,6,loss,F101.jpg,F17.jpg,1.0,43.0,537.1086,999.0,999.0,999.0,540.20624,3.0979102,540.20667,2.0,542.2231,545.24146,545.2416,551.25995,2019-11-05 17:01:29.017464
45,45,3,7,win,M61.jpg,M41.jpg,1.0,44.0,551.3017,999.0,999.0,999.0,554.3997,3.0983143,554.40015,2.0,556.41675,559.451,559.45135,566.46936,2019-11-05 17:01:44.226747
46,46,3,7,loss,M69.jpg,M37.jpg,1.0,45.0,566.5081,999.0,999.0,999.0,569.60944,3.101571,569.60986,2.0,571.62726,574.6455,574.6457,581.664,2019-11-05 17:01:59.421222
47,47,6,6,loss,M51.jpg,M85.jpg,1.0,46.0,581.70465,999.0,999.0,999.0,584.8049,3.100553,584.80536,2.0,586.8218,589.8401,589.8403,595.8567,2019-11-05 17:02:13.613752
48,48,6,7,loss,F109.jpg,F75.jpg,1.0,47.0,595.9141,999.0,999.0,999.0,599.01447,3.1008277,599.0153,2.0,601.0318,604.05005,604.05023,611.0684,2019-11-05 17:02:28.825333
49,49,5,7,loss,F103.jpg,F27.jpg,1.0,48.0,611.1358,999.0,999.0,999.0,614.2426,3.1070633,614.24304,2.0,616.2576,619.2758,619.2762,626.29376,2019-11-05 17:02:44.050479
50,50,2,8,loss,M49.jpg,M07.jpg,1.0,49.0,626.34454,3.0,0.5377975,626.8823,629.3623,3.0180411,629.36273,2.0,631.3841,634.40234,634.4025,642.4215,2019-11-05 17:03:00.178077
51,51,4,4,win,F119.jpg,F79.jpg,1.0,50.0,642.4772,999.0,999.0,999.0,645.5795,3.102684,645.58,2.0,647.5964,650.6317,650.632,654.64966,2019-11-05 17:03:12.406115
52,52,3,6,win,F53.jpg,F67.jpg,1.0,51.0,654.7116,999.0,999.0,999.0,657.805,3.0936341,657.8054,2.0,659.8209,662.85706,662.8574,668.8752,2019-11-05 17:03:26.631468
53,53,6,6,loss,F95.jpg,F81.jpg,1.0,52.0,668.9325,999.0,999.0,999.0,672.03156,3.0993514,672.032,2.0,674.04865,677.0664,677.0666,683.0845,2019-11-05 17:03:40.840576
54,54,5,4,win,M05.jpg,M89.jpg,1.0,53.0,683.1431,999.0,999.0,999.0,686.24146,3.0985818,686.2419,2.0,688.2588,691.29364,691.29407,695.31195,2019-11-05 17:03:53.067925
55,55,5,6,win,F29.jpg,F107.jpg,1.0,54.0,695.3692,999.0,999.0,999.0,698.4671,3.0981798,698.4676,2.0,700.484,703.51965,703.52,709.53705,2019-11-05 17:04:07.292885
56,56,5,7,win,F43.jpg,F33.jpg,1.0,55.0,709.6041,999.0,999.0,999.0,712.71,3.106218,712.7105,2.0,714.7274,717.763,717.7633,724.78064,2019-11-05 17:04:22.536334
57,57,3,2,win,F25.jpg,F111.jpg,1.0,56.0,724.83777,999.0,999.0,999.0,727.93744,3.099967,727.9379,2.0,729.9547,732.98987,732.99023,735.0083,2019-11-05 17:04:32.763890
58,58,4,6,win,M23.jpg,M15.jpg,1.0,57.0,735.06177,999.0,999.0,999.0,738.1617,3.1001987,738.1621,2.0,740.17865,743.2138,743.2142,749.2321,2019-11-05 17:04:46.987546
59,59,4,7,win,M43.jpg,M99.jpg,1.0,58.0,749.28284,999.0,999.0,999.0,752.3893,3.1067188,752.3898,2.0,754.405,757.44073,757.4411,764.4588,2019-11-05 17:05:02.310748
60,60,4,8,loss,M57.jpg,M79.jpg,1.0,59.0,764.499,999.0,999.0,999.0,767.60016,3.101398,767.6006,2.0,769.61597,772.6342,772.63434,780.65283,2019-11-05 17:05:18.504573
